# WL channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.0
6.0	0.0
8.0	0.0
10.0	0.0
15.0	0.0
20.0	0.0
25.0	0.0
30.0	0.0
40.0	0.0
50.0	0.0
60.0	0.0
70.0	0.0
80.0	0.0
90.0	8.814215467798858
100.0	9.447073921633715
110.0	9.317399279451262
120.0	9.992145105173378
130.0	10.76110414579109
140.0	10.739670151559862
150.0	11.551822565533202
160.0	12.382529795571234
180.0	13.250410676941227
200.0	14.137809924570178
220.0	14.17391840020898
240.0	15.089468945337725
260.0	16.015870444095256
280.0	16.068727092630827
300.0	16.991458460169554
330.0	17.94713598725698
360.0	18.915335185309413
400.0	19.89435132337441
450.0	20.898398622491374
500.0	21.049735158139512
550.0	22.034587113412112
600.0	23.02196224738643
650.0	23.98491490808654
700.0	24.125544006843775
750.0	25.06599774563723
800.0	25.995541428972533
900.0	27.032731936322296
1000.0	28.16381560558805
1100.0	28.310708251225694
1200.0	29.285247703283215
1300.0	30.221970250741965
1500.0	31.382832906264635
1700.0	32.49632841613457
2000.0	34.37528580246093
2500.0	36.00773362391027
3000.0	38.04117176230105
4000.0	41.20299073276268
5000.0	43.24630529218775
6000.0	45.49294209311408
7000.0	47.222869696812516
8000.0	49.1162224849052
9000.0	50.61946921963674
10000.0	53.0002404163152
12000.0	54.46082076977733
15000.0	57.825282110379064
20000.0	62.689545864275836
30000.0	70.31662902845618
50000.0	82.01249215558703
100000.0	102.49996701654202
