# b channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.0
6.0	0.18051667385075354
8.0	0.5093961742882649
10.0	0.873127483001408
15.0	1.6321311016976747
20.0	2.7782745369537394
25.0	3.1984248551761896
30.0	4.280947369255866
40.0	6.254776822191218
50.0	6.958813909479333
60.0	8.609306468183552
70.0	9.485583904935945
80.0	11.453615054940455
90.0	12.507877208890518
100.0	13.612414849252326
110.0	13.596437904760448
120.0	14.742452193087821
130.0	15.928802747108952
140.0	15.934285460322963
150.0	17.1584226007936
160.0	18.405725454790744
180.0	19.710731726367342
200.0	21.054683907931867
220.0	21.123001245531604
240.0	22.512888015849885
260.0	23.924542019212456
280.0	24.005035719936544
300.0	25.457207837589646
330.0	26.99007327835271
360.0	28.550119208062224
400.0	30.18327225017989
450.0	31.91278658461183
500.0	32.138287605894334
550.0	33.89017052701803
600.0	35.683049736967355
650.0	37.49679244387509
700.0	37.7280308901448
750.0	39.56564570211204
800.0	41.419230631918815
900.0	43.5217398593698
1000.0	45.79109699602136
1100.0	46.08154847208293
1200.0	48.18781847688772
1300.0	50.32231851275588
1500.0	52.84759497373003
1700.0	55.35984159940477
2000.0	59.97316632358164
2500.0	63.43358380742741
3000.0	68.56866109518727
4000.0	76.73523943756526
5000.0	81.07939986828447
6000.0	86.94896397068149
7000.0	90.83966467424105
8000.0	96.28698967362106
9000.0	99.88592844110201
10000.0	104.72405272701819
12000.0	108.35907266225134
15000.0	116.11471634076253
20000.0	127.34901921150353
30000.0	142.49751035030832
50000.0	163.99861097635258
100000.0	198.66779150344146
