# t channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.0
6.0	0.0
8.0	0.0
10.0	0.0
15.0	0.0
20.0	0.0
25.0	0.0
30.0	0.0
40.0	0.0
50.0	0.0
60.0	0.0
70.0	0.0
80.0	0.0
90.0	0.0
100.0	0.0
110.0	0.0
120.0	0.0
130.0	0.0
140.0	0.0
150.0	0.0
160.0	0.0
180.0	19.610145638194993
200.0	20.70892980810188
220.0	20.46085980807435
240.0	21.857434764589197
260.0	23.34109133092712
280.0	23.299896478101
300.0	24.892135723854302
330.0	26.553317300179444
360.0	28.286921812540868
400.0	30.108969006864367
450.0	32.03524817626994
500.0	32.22470281516291
550.0	34.23360312547433
600.0	36.28453191862162
650.0	38.369665471228224
700.0	38.57769797263065
750.0	40.711543739531976
800.0	42.86289523743643
900.0	45.25003650096543
1000.0	47.76245117126943
1100.0	48.054921682749686
1200.0	50.47336002285587
1300.0	52.899578757583726
1500.0	55.69261397591102
1700.0	58.48550412332774
2000.0	63.65280641253817
2500.0	67.33658594619602
3000.0	73.00234981247436
4000.0	81.82854955720438
5000.0	86.28743186703215
6000.0	92.48027912792338
7000.0	96.45012972393536
8000.0	102.15010873321154
9000.0	105.7652815168379
10000.0	110.61733653317559
12000.0	114.18607083796547
15000.0	121.8244705807874
20000.0	132.69280803956715
30000.0	147.09051666252964
50000.0	167.37650270613966
100000.0	199.75061920653042
