Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0317      233.8012     0.9502      5.19613e-17            1.14014e-16        9.69938e-17        1.02841e-12        2.25654e-12        1.91968e-12
6.0000     0.0405      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.16049e-12        2.54636e-12        2.16623e-12
8.0000     0.0558      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.49869e-12        3.28844e-12        2.79754e-12
10.0000     0.0675      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.93406e-12        4.24373e-12        3.61022e-12
15.0000     0.0887      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        3.31201e-12        7.26724e-12        6.18238e-12
20.0000     0.1104      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        4.73231e-12        1.03837e-11        8.83359e-12
25.0000     0.1209      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        6.75139e-12        1.4814e-11        1.26025e-11
30.0000     0.1367      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        8.59889e-12        1.88678e-11        1.60512e-11
40.0000     0.1626      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.28486e-11        2.81926e-11        2.3984e-11
50.0000     0.1759      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.85607e-11        4.07261e-11        3.46464e-11
60.0000     0.1950      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        2.41089e-11        5.28999e-11        4.50029e-11
70.0000     0.2069      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        3.09319e-11        6.78711e-11        5.77392e-11
80.0000     0.2257      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        3.70331e-11        8.12584e-11        6.9128e-11
90.0000     0.2371      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        4.46081e-11        9.78795e-11        8.32679e-11
100.0000     0.2486      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        5.25395e-11        1.15283e-10        9.80731e-11
110.0000     0.2490      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        6.34538e-11        1.39231e-10        1.18446e-10
120.0000     0.2561      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        7.34331e-11        1.61128e-10        1.37074e-10
130.0000     0.2643      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        8.35171e-11        1.83254e-10        1.55897e-10
140.0000     0.2691      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        9.51204e-11        2.08714e-10        1.77557e-10
150.0000     0.2787      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.05449e-10        2.31377e-10        1.96837e-10
160.0000     0.2882      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.16016e-10        2.54563e-10        2.16561e-10
180.0000     0.3036      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.39389e-10        3.05848e-10        2.60191e-10
200.0000     0.3193      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.63576e-10        3.5892e-10        3.05339e-10
220.0000     0.3301      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.91467e-10        4.20119e-10        3.57403e-10
240.0000     0.3463      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        2.17192e-10        4.76564e-10        4.05422e-10
260.0000     0.3624      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        2.43579e-10        5.34464e-10        4.54678e-10
280.0000     0.3725      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        2.74889e-10        6.03163e-10        5.13122e-10
