Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0317      201.7012     0.9502      4.79057e-17            1.12243e-16        9.54899e-17        9.48137e-13        2.22149e-12        1.88991e-12
6.0000     0.0405      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        1.06991e-12        2.50681e-12        2.13264e-12
8.0000     0.0558      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        1.38172e-12        3.23737e-12        2.75416e-12
10.0000     0.0675      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        1.7831e-12        4.17782e-12        3.55424e-12
15.0000     0.0887      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        3.0535e-12        7.15437e-12        6.08651e-12
20.0000     0.1104      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        4.36295e-12        1.02224e-11        8.69662e-12
25.0000     0.1209      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        6.22443e-12        1.45839e-11        1.24071e-11
30.0000     0.1367      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        7.92774e-12        1.85747e-11        1.58023e-11
40.0000     0.1626      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        1.18458e-11        2.77548e-11        2.36121e-11
50.0000     0.1759      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        1.7112e-11        4.00936e-11        3.41092e-11
60.0000     0.1950      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        2.22272e-11        5.20783e-11        4.43051e-11
70.0000     0.2069      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        2.85177e-11        6.6817e-11        5.68439e-11
80.0000     0.2257      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        3.41427e-11        7.99964e-11        6.80562e-11
90.0000     0.2371      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        4.11264e-11        9.63593e-11        8.19768e-11
100.0000     0.2486      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        4.84388e-11        1.13492e-10        9.65524e-11
110.0000     0.2490      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        5.85012e-11        1.37069e-10        1.1661e-10
120.0000     0.2561      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        6.77016e-11        1.58625e-10        1.34949e-10
130.0000     0.2643      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        7.69985e-11        1.80408e-10        1.5348e-10
140.0000     0.2691      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        8.76962e-11        2.05472e-10        1.74804e-10
150.0000     0.2787      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        9.72186e-11        2.27784e-10        1.93785e-10
160.0000     0.2882      201.7012     0.9500      4.79057e-17            1.12243e-16        9.54899e-17        1.06961e-10        2.50609e-10        2.13203e-10
