Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0317      233.8012     0.9502      1.64564e-23            2.18027e-23        1.85376e-23        3.257e-19        4.31513e-19        3.66892e-19
6.0000     0.0405      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        3.67532e-19        4.86935e-19        4.14015e-19
8.0000     0.0558      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        4.74642e-19        6.28842e-19        5.34671e-19
10.0000     0.0675      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        6.12525e-19        8.1152e-19        6.89992e-19
15.0000     0.0887      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.04893e-18        1.3897e-18        1.18159e-18
20.0000     0.1104      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.49874e-18        1.98565e-18        1.68829e-18
25.0000     0.1209      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.13819e-18        2.83284e-18        2.40861e-18
30.0000     0.1367      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.72331e-18        3.60805e-18        3.06773e-18
40.0000     0.1626      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        4.06922e-18        5.39122e-18        4.58387e-18
50.0000     0.1759      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        5.87826e-18        7.78797e-18        6.62169e-18
60.0000     0.1950      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        7.63539e-18        1.0116e-17        8.60105e-18
70.0000     0.2069      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        9.79628e-18        1.29789e-17        1.10352e-17
80.0000     0.2257      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.17286e-17        1.55389e-17        1.32119e-17
90.0000     0.2371      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.41276e-17        1.87173e-17        1.59143e-17
100.0000     0.2486      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.66395e-17        2.20453e-17        1.87439e-17
110.0000     0.2490      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.00961e-17        2.66249e-17        2.26377e-17
120.0000     0.2561      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.32566e-17        3.08121e-17        2.61979e-17
130.0000     0.2643      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.64502e-17        3.50433e-17        2.97954e-17
140.0000     0.2691      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        3.0125e-17        3.9912e-17        3.3935e-17
150.0000     0.2787      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        3.33962e-17        4.42458e-17        3.76198e-17
