Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0317      201.7012     0.9502      1.59334e-23            2.35963e-23        2.00646e-23        3.1535e-19        4.67011e-19        3.97113e-19
6.0000     0.0405      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        3.55853e-19        5.26992e-19        4.48117e-19
8.0000     0.0558      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        4.59559e-19        6.80573e-19        5.78711e-19
10.0000     0.0675      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        5.9306e-19        8.78279e-19        7.46826e-19
15.0000     0.0887      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        1.0156e-18        1.50402e-18        1.27891e-18
20.0000     0.1104      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        1.45112e-18        2.149e-18        1.82736e-18
25.0000     0.1209      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        2.07025e-18        3.06588e-18        2.60701e-18
30.0000     0.1367      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        2.63677e-18        3.90486e-18        3.32041e-18
40.0000     0.1626      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        3.93991e-18        5.83472e-18        4.96143e-18
50.0000     0.1759      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        5.69146e-18        8.42864e-18        7.16712e-18
60.0000     0.1950      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        7.39275e-18        1.09481e-17        9.30951e-18
70.0000     0.2069      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        9.48497e-18        1.40466e-17        1.19442e-17
80.0000     0.2257      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        1.13558e-17        1.68172e-17        1.43001e-17
90.0000     0.2371      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        1.36786e-17        2.02571e-17        1.72252e-17
100.0000     0.2486      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        1.61107e-17        2.38588e-17        2.02878e-17
110.0000     0.2490      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        1.94575e-17        2.88151e-17        2.45023e-17
120.0000     0.2561      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        2.25175e-17        3.33468e-17        2.83558e-17
130.0000     0.2643      201.7012     0.9500      1.59334e-23            2.35963e-23        2.00646e-23        2.56097e-17        3.79261e-17        3.22496e-17
