Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0317      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        9.09175e-26        1.81901e-25        6.77596e-26
6.0000     0.0405      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.02595e-25        2.05263e-25        7.64624e-26
8.0000     0.0558      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.32494e-25        2.65083e-25        9.87459e-26
10.0000     0.0675      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.70983e-25        3.4209e-25        1.27431e-25
15.0000     0.0887      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.92802e-25        5.85817e-25        2.18222e-25
20.0000     0.1104      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.18366e-25        8.37035e-25        3.11803e-25
25.0000     0.1209      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        5.96865e-25        1.19416e-24        4.44836e-25
30.0000     0.1367      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        7.60196e-25        1.52094e-24        5.66564e-25
40.0000     0.1626      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.1359e-24        2.27262e-24        8.46573e-25
50.0000     0.1759      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.64088e-24        3.28295e-24        1.22293e-24
60.0000     0.1950      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.13138e-24        4.26429e-24        1.58849e-24
70.0000     0.2069      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.73458e-24        5.47113e-24        2.03804e-24
80.0000     0.2257      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        3.27396e-24        6.55029e-24        2.44004e-24
90.0000     0.2371      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        3.94364e-24        7.89012e-24        2.93914e-24
100.0000     0.2486      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.64483e-24        9.29301e-24        3.46173e-24
110.0000     0.2490      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        5.60972e-24        1.12235e-23        4.18085e-24
120.0000     0.2561      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        6.49195e-24        1.29886e-23        4.83836e-24
130.0000     0.2643      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        7.38343e-24        1.47722e-23        5.50278e-24
140.0000     0.2691      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        8.40924e-24        1.68246e-23        6.2673e-24
150.0000     0.2787      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        9.32235e-24        1.86514e-23        6.94783e-24
160.0000     0.2882      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.02565e-23        2.05204e-23        7.64405e-24
180.0000     0.3036      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.23228e-23        2.46546e-23        9.18406e-24
200.0000     0.3193      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.44611e-23        2.89327e-23        1.07777e-23
220.0000     0.3301      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.69269e-23        3.38661e-23        1.26154e-23
240.0000     0.3463      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.92011e-23        3.84161e-23        1.43103e-23
260.0000     0.3624      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.15339e-23        4.30834e-23        1.6049e-23
280.0000     0.3725      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.43019e-23        4.86213e-23        1.81119e-23
300.0000     0.3893      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.66929e-23        5.34052e-23        1.98939e-23
330.0000     0.4111      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        3.05817e-23        6.11854e-23        2.27921e-23
360.0000     0.4330      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        3.45551e-23        6.91351e-23        2.57534e-23
400.0000     0.4606      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.01089e-23        8.02467e-23        2.98926e-23
450.0000     0.4916      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.75582e-23        9.51507e-23        3.54445e-23
500.0000     0.5115      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        5.64253e-23        1.12891e-22        4.2053e-23
550.0000     0.5423      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        6.43963e-23        1.28839e-22        4.79938e-23
600.0000     0.5731      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        7.25181e-23        1.45089e-22        5.40468e-23
650.0000     0.6044      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        8.07113e-23        1.61481e-22        6.01531e-23
700.0000     0.6210      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        9.11e-23        1.82266e-22        6.78956e-23
750.0000     0.6520      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        9.95986e-23        1.99269e-22        7.42295e-23
800.0000     0.6840      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.08024e-22        2.16127e-22        8.05092e-23
900.0000     0.7308      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.27969e-22        2.5603e-22        9.53736e-23
