Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0317      226.5012     0.9503      1.49371e-34            6.52601e-35        6.12081e-35        2.95632e-30        1.29161e-30        1.21142e-30
6.0000     0.0405      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        3.33602e-30        1.4575e-30        1.36701e-30
8.0000     0.0558      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        4.30823e-30        1.88226e-30        1.76539e-30
10.0000     0.0675      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        5.55977e-30        2.42905e-30        2.27824e-30
15.0000     0.0887      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        9.52091e-30        4.15967e-30        3.9014e-30
20.0000     0.1104      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.36038e-29        5.94348e-30        5.57445e-30
25.0000     0.1209      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.9408e-29        8.47931e-30        7.95283e-30
30.0000     0.1367      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        2.47189e-29        1.07997e-29        1.01291e-29
40.0000     0.1626      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        3.69355e-29        1.61371e-29        1.51351e-29
50.0000     0.1759      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        5.33558e-29        2.33111e-29        2.18637e-29
60.0000     0.1950      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        6.93049e-29        3.02792e-29        2.83992e-29
70.0000     0.2069      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        8.89189e-29        3.88485e-29        3.64365e-29
80.0000     0.2257      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.06458e-28        4.65113e-29        4.36234e-29
90.0000     0.2371      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.28233e-28        5.60249e-29        5.25464e-29
100.0000     0.2486      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.51033e-28        6.59863e-29        6.18893e-29
110.0000     0.2490      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.82408e-28        7.9694e-29        7.47458e-29
120.0000     0.2561      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        2.11095e-28        9.22273e-29        8.65009e-29
130.0000     0.2643      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        2.40083e-28        1.04892e-28        9.83794e-29
140.0000     0.2691      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        2.73439e-28        1.19465e-28        1.12048e-28
150.0000     0.2787      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        3.0313e-28        1.32437e-28        1.24214e-28
160.0000     0.2882      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        3.33506e-28        1.45708e-28        1.36661e-28
180.0000     0.3036      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        4.00696e-28        1.75063e-28        1.64194e-28
200.0000     0.3193      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        4.70225e-28        2.05441e-28        1.92685e-28
220.0000     0.3301      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        5.50404e-28        2.40471e-28        2.2554e-28
240.0000     0.3463      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        6.24353e-28        2.72779e-28        2.55842e-28
260.0000     0.3624      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        7.00208e-28        3.0592e-28        2.86925e-28
280.0000     0.3725      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        7.90212e-28        3.45243e-28        3.23807e-28
300.0000     0.3893      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        8.67961e-28        3.79211e-28        3.55666e-28
330.0000     0.4111      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        9.94409e-28        4.34456e-28        4.07481e-28
360.0000     0.4330      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.12361e-27        4.90903e-28        4.60423e-28
400.0000     0.4606      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.3042e-27        5.69803e-28        5.34424e-28
450.0000     0.4916      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.54643e-27        6.75631e-28        6.33681e-28
