Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      233.8012     0.9502      5.19613e-17            1.14014e-16        9.69938e-17        7.95055e-14        1.74452e-13        1.48409e-13
6.0000     0.5772      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        8.14474e-14        1.78713e-13        1.52034e-13
8.0000     0.8456      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        9.88434e-14        2.16883e-13        1.84507e-13
10.0000     1.0265      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.27219e-13        2.79144e-13        2.37473e-13
15.0000     1.2878      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        2.28164e-13        5.0064e-13        4.25903e-13
20.0000     1.5234      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        3.42907e-13        7.52411e-13        6.40089e-13
25.0000     1.5983      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        5.10668e-13        1.12051e-12        9.5324e-13
30.0000     1.7309      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        6.7902e-13        1.48991e-12        1.2675e-12
40.0000     1.9027      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.09819e-12        2.40967e-12        2.04995e-12
50.0000     1.9585      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.66705e-12        3.65785e-12        3.1118e-12
60.0000     2.0509      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        2.29236e-12        5.02991e-12        4.27904e-12
70.0000     2.0953      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        3.05406e-12        6.70124e-12        5.70087e-12
80.0000     2.1677      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        3.8556e-12        8.46e-12        7.19707e-12
90.0000     2.2023      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        4.80315e-12        1.05391e-11        8.96582e-12
100.0000     2.2332      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        5.84788e-12        1.28315e-11        1.0916e-11
110.0000     2.2340      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        7.07327e-12        1.55202e-11        1.32033e-11
120.0000     2.2570      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        8.33195e-12        1.8282e-11        1.55529e-11
130.0000     2.2784      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        9.68686e-12        2.1255e-11        1.8082e-11
140.0000     2.2834      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.12096e-11        2.45962e-11        2.09244e-11
150.0000     2.2998      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.27764e-11        2.80341e-11        2.38491e-11
160.0000     2.3056      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.45006e-11        3.18173e-11        2.70676e-11
180.0000     2.3131      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        1.8292e-11        4.01365e-11        3.41449e-11
200.0000     2.3119      233.8012     0.9500      5.19613e-17            1.14014e-16        9.69938e-17        2.25951e-11        4.95785e-11        4.21773e-11
