Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      201.7012     0.9502      4.79057e-17            1.40697e-15        4.73594e-17        7.33e-14        2.15279e-12        7.24642e-14
6.0000     0.5772      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        7.50903e-14        2.20537e-12        7.42341e-14
8.0000     0.8456      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        9.11286e-14        2.6764e-12        9.00895e-14
10.0000     1.0265      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.17289e-13        3.44472e-12        1.15952e-13
15.0000     1.2878      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.10356e-13        6.17804e-12        2.07957e-13
20.0000     1.5234      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.16143e-13        9.28497e-12        3.12538e-13
25.0000     1.5983      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.7081e-13        1.38275e-11        4.65441e-13
30.0000     1.7309      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.26022e-13        1.8386e-11        6.18883e-13
40.0000     1.9027      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.01248e-12        2.9736e-11        1.00093e-12
50.0000     1.9585      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.53693e-12        4.51389e-11        1.5194e-12
60.0000     2.0509      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.11344e-12        6.20706e-11        2.08934e-12
70.0000     2.0953      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.81569e-12        8.26953e-11        2.78358e-12
80.0000     2.1677      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.55467e-12        1.04399e-10        3.51413e-12
90.0000     2.2023      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.42826e-12        1.30056e-10        4.37776e-12
100.0000     2.2332      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        5.39145e-12        1.58344e-10        5.32996e-12
110.0000     2.2340      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.52119e-12        1.91524e-10        6.44683e-12
120.0000     2.2570      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        7.68163e-12        2.25606e-10        7.59403e-12
