Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        4.89181e-20        3.05422e-19        4.57259e-20
6.0000     0.5772      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        5.01128e-20        3.12882e-19        4.68428e-20
8.0000     0.8456      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        6.08163e-20        3.7971e-19        5.68478e-20
10.0000     1.0265      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        7.82749e-20        4.88713e-19        7.31671e-20
15.0000     1.2878      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.40384e-19        8.76498e-19        1.31224e-19
20.0000     1.5234      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        2.10984e-19        1.31729e-18        1.97216e-19
25.0000     1.5983      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        3.14203e-19        1.96174e-18        2.937e-19
30.0000     1.7309      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        4.17787e-19        2.60847e-18        3.90524e-19
40.0000     1.9027      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        6.75696e-19        4.21874e-18        6.31604e-19
50.0000     1.9585      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.0257e-18        6.404e-18        9.58767e-19
60.0000     2.0509      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.41044e-18        8.80615e-18        1.3184e-18
70.0000     2.0953      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.8791e-18        1.17322e-17        1.75648e-18
80.0000     2.1677      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        2.37227e-18        1.48114e-17        2.21747e-18
90.0000     2.2023      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        2.95528e-18        1.84514e-17        2.76243e-18
100.0000     2.2332      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        3.59807e-18        2.24648e-17        3.36329e-18
110.0000     2.2340      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        4.35203e-18        2.71721e-17        4.06804e-18
120.0000     2.2570      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        5.12647e-18        3.20074e-17        4.79195e-18
130.0000     2.2784      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        5.96012e-18        3.72123e-17        5.57119e-18
140.0000     2.2834      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        6.89701e-18        4.30619e-17        6.44695e-18
150.0000     2.2998      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        7.86103e-18        4.90808e-17        7.34807e-18
160.0000     2.3056      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        8.9219e-18        5.57043e-17        8.33971e-18
180.0000     2.3131      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.12547e-17        7.02693e-17        1.05203e-17
200.0000     2.3119      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.39023e-17        8.67998e-17        1.29951e-17
220.0000     2.3214      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.67527e-17        1.04596e-16        1.56595e-17
240.0000     2.3113      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        2.00246e-17        1.25025e-16        1.87179e-17
260.0000     2.2903      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        2.37164e-17        1.48075e-16        2.21688e-17
280.0000     2.3002      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        2.73872e-17        1.70993e-16        2.56e-17
300.0000     2.2733      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        3.18111e-17        1.98614e-16        2.97353e-17
330.0000     2.2424      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        3.90211e-17        2.4363e-16        3.64748e-17
360.0000     2.2052      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        4.72233e-17        2.94841e-16        4.41418e-17
400.0000     2.1674      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        5.93166e-17        3.70346e-16        5.5446e-17
450.0000     2.1255      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        7.65527e-17        4.77961e-16        7.15573e-17
500.0000     2.1445      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        9.36695e-17        5.84831e-16        8.75572e-17
550.0000     2.0992      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.15787e-16        7.22922e-16        1.08231e-16
600.0000     2.0500      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.41106e-16        8.81e-16        1.31898e-16
650.0000     1.9984      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.69875e-16        1.06062e-15        1.5879e-16
700.0000     2.0148      445.9312     0.9500      3.19707e-23            1.99611e-22        2.98845e-23        1.9541e-16        1.22005e-15        1.82659e-16
