Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      237.9112     0.9501      2.07106e-23            1.86938e-22        1.94162e-23        3.16891e-20        2.86032e-19        2.97085e-20
6.0000     0.5772      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        3.24631e-20        2.93018e-19        3.04341e-20
8.0000     0.8456      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        3.93968e-20        3.55603e-19        3.69344e-20
10.0000     1.0265      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        5.07064e-20        4.57686e-19        4.75372e-20
15.0000     1.2878      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        9.0941e-20        8.20851e-19        8.52571e-20
20.0000     1.5234      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        1.36675e-19        1.23366e-18        1.28133e-19
25.0000     1.5983      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        2.03541e-19        1.8372e-18        1.90819e-19
30.0000     1.7309      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        2.70642e-19        2.44287e-18        2.53727e-19
40.0000     1.9027      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        4.37716e-19        3.9509e-18        4.10358e-19
50.0000     1.9585      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        6.64447e-19        5.99742e-18        6.22918e-19
60.0000     2.0509      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        9.13682e-19        8.24707e-18        8.56575e-19
70.0000     2.0953      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        1.21728e-18        1.09874e-17        1.1412e-18
80.0000     2.1677      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        1.53676e-18        1.3871e-17        1.44071e-18
90.0000     2.2023      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        1.91443e-18        1.728e-17        1.79477e-18
100.0000     2.2332      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        2.33083e-18        2.10385e-17        2.18515e-18
110.0000     2.2340      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        2.81925e-18        2.5447e-17        2.64304e-18
120.0000     2.2570      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        3.32093e-18        2.99753e-17        3.11336e-18
130.0000     2.2784      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        3.86096e-18        3.48498e-17        3.61965e-18
140.0000     2.2834      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        4.46788e-18        4.03279e-17        4.18863e-18
150.0000     2.2998      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        5.09238e-18        4.59647e-17        4.77409e-18
