Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        7.02879e-27        1.40627e-26        5.23846e-27
6.0000     0.5772      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        7.20046e-27        1.44061e-26        5.36641e-27
8.0000     0.8456      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        8.73838e-27        1.74831e-26        6.5126e-27
10.0000     1.0265      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.12469e-26        2.2502e-26        8.38218e-27
15.0000     1.2878      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.01711e-26        4.03569e-26        1.50333e-26
20.0000     1.5234      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        3.03152e-26        6.06523e-26        2.25935e-26
25.0000     1.5983      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.51463e-26        9.03252e-26        3.36469e-26
30.0000     1.7309      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        6.00297e-26        1.20103e-25        4.47393e-26
40.0000     1.9027      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        9.70873e-26        1.94245e-25        7.23579e-26
50.0000     1.9585      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.47377e-25        2.94861e-25        1.09838e-25
60.0000     2.0509      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.02659e-25        4.05464e-25        1.51039e-25
70.0000     2.0953      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.69998e-25        5.40191e-25        2.01226e-25
80.0000     2.1677      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        3.40859e-25        6.81965e-25        2.54038e-25
90.0000     2.2023      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.24629e-25        8.49564e-25        3.1647e-25
100.0000     2.2332      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        5.16989e-25        1.03435e-24        3.85305e-25
110.0000     2.2340      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        6.25322e-25        1.2511e-24        4.66044e-25
120.0000     2.2570      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        7.36596e-25        1.47373e-24        5.48976e-25
130.0000     2.2784      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        8.56379e-25        1.71338e-24        6.38248e-25
140.0000     2.2834      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        9.90997e-25        1.98271e-24        7.38577e-25
150.0000     2.2998      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.12951e-24        2.25984e-24        8.41811e-25
160.0000     2.3056      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.28194e-24        2.56481e-24        9.55415e-25
180.0000     2.3131      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.61713e-24        3.23543e-24        1.20523e-24
200.0000     2.3119      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.99755e-24        3.99655e-24        1.48875e-24
220.0000     2.3214      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.40711e-24        4.81596e-24        1.79399e-24
240.0000     2.3113      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.87723e-24        5.75655e-24        2.14437e-24
260.0000     2.2903      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        3.4077e-24        6.81786e-24        2.53971e-24
280.0000     2.3002      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        3.93512e-24        7.87309e-24        2.9328e-24
300.0000     2.2733      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.57077e-24        9.14485e-24        3.40654e-24
330.0000     2.2424      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        5.60675e-24        1.12175e-23        4.17864e-24
