Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      226.5012     0.9503      2.6463e-30            6.76732e-30        2.04517e-30        4.04907e-27        1.03546e-26        3.12929e-27
6.0000     0.5772      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        4.14797e-27        1.06075e-26        3.20572e-27
8.0000     0.8456      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        5.03392e-27        1.28731e-26        3.89042e-27
10.0000     1.0265      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        6.47901e-27        1.65686e-26        5.00724e-27
15.0000     1.2878      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        1.162e-26        2.97155e-26        8.98039e-27
20.0000     1.5234      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        1.74637e-26        4.46594e-26        1.34966e-26
25.0000     1.5983      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        2.60074e-26        6.65081e-26        2.00996e-26
30.0000     1.7309      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        3.45813e-26        8.84339e-26        2.67258e-26
40.0000     1.9027      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        5.59291e-26        1.43026e-25        4.32243e-26
50.0000     1.9585      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        8.48997e-26        2.17112e-25        6.56139e-26
60.0000     2.0509      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        1.16746e-25        2.98551e-25        9.02258e-26
70.0000     2.0953      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        1.55538e-25        3.97753e-25        1.20206e-25
80.0000     2.1677      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        1.96359e-25        5.02144e-25        1.51754e-25
90.0000     2.2023      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        2.44616e-25        6.25551e-25        1.89049e-25
100.0000     2.2332      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        2.97822e-25        7.61613e-25        2.30169e-25
110.0000     2.2340      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        3.60229e-25        9.21205e-25        2.78399e-25
120.0000     2.2570      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        4.24331e-25        1.08513e-24        3.2794e-25
130.0000     2.2784      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        4.93334e-25        1.26159e-24        3.81269e-25
140.0000     2.2834      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        5.70884e-25        1.45991e-24        4.41202e-25
150.0000     2.2998      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        6.50678e-25        1.66396e-24        5.0287e-25
160.0000     2.3056      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        7.38489e-25        1.88852e-24        5.70734e-25
180.0000     2.3131      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        9.3158e-25        2.38231e-24        7.19962e-25
200.0000     2.3119      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        1.15073e-24        2.94274e-24        8.89331e-25
220.0000     2.3214      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        1.38666e-24        3.54608e-24        1.07167e-24
240.0000     2.3113      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        1.65749e-24        4.23866e-24        1.28097e-24
260.0000     2.2903      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        1.96307e-24        5.02012e-24        1.51714e-24
280.0000     2.3002      226.5012     0.9500      2.6463e-30            6.76732e-30        2.04517e-30        2.26691e-24        5.79711e-24        1.75196e-24
