Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        3.49528e-31        3.90086e-31        2.00868e-31
6.0000     0.5772      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        3.58065e-31        3.99614e-31        2.05774e-31
8.0000     0.8456      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        4.34542e-31        4.84966e-31        2.49724e-31
10.0000     1.0265      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        5.59287e-31        6.24186e-31        3.21413e-31
15.0000     1.2878      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.00307e-30        1.11947e-30        5.76448e-31
20.0000     1.5234      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.50751e-30        1.68244e-30        8.66343e-31
25.0000     1.5983      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.24503e-30        2.50554e-30        1.29018e-30
30.0000     1.7309      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.98516e-30        3.33155e-30        1.71552e-30
40.0000     1.9027      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        4.82796e-30        5.38819e-30        2.77455e-30
50.0000     1.9585      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        7.32878e-30        8.1792e-30        4.21173e-30
60.0000     2.0509      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.00778e-29        1.12472e-29        5.79156e-30
70.0000     2.0953      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.34265e-29        1.49844e-29        7.71597e-30
80.0000     2.1677      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.69503e-29        1.89171e-29        9.74104e-30
90.0000     2.2023      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.11159e-29        2.35662e-29        1.2135e-29
100.0000     2.2332      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.57088e-29        2.86921e-29        1.47745e-29
110.0000     2.2340      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        3.1096e-29        3.47043e-29        1.78704e-29
120.0000     2.2570      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        3.66295e-29        4.08799e-29        2.10504e-29
130.0000     2.2784      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        4.2586e-29        4.75276e-29        2.44735e-29
140.0000     2.2834      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        4.92803e-29        5.49987e-29        2.83206e-29
150.0000     2.2998      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        5.61684e-29        6.26861e-29        3.22791e-29
160.0000     2.3056      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        6.37485e-29        7.11457e-29        3.66352e-29
180.0000     2.3131      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        8.04166e-29        8.97481e-29        4.62141e-29
200.0000     2.3119      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        9.93344e-29        1.10861e-28        5.70858e-29
220.0000     2.3214      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.19701e-28        1.33591e-28        6.879e-29
240.0000     2.3113      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.43079e-28        1.59682e-28        8.22253e-29
260.0000     2.2903      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.69458e-28        1.89122e-28        9.73847e-29
280.0000     2.3002      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.95686e-28        2.18393e-28        1.12457e-28
300.0000     2.2733      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.27295e-28        2.5367e-28        1.30623e-28
330.0000     2.2424      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.78812e-28        3.11165e-28        1.60229e-28
360.0000     2.2052      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        3.37419e-28        3.76572e-28        1.93909e-28
400.0000     2.1674      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        4.23827e-28        4.73007e-28        2.43567e-28
450.0000     2.1255      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        5.46982e-28        6.10452e-28        3.14341e-28
500.0000     2.1445      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        6.69284e-28        7.46947e-28        3.84627e-28
550.0000     2.0992      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        8.27317e-28        9.23317e-28        4.75445e-28
600.0000     2.0500      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.00822e-27        1.12522e-27        5.79409e-28
650.0000     1.9984      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.21379e-27        1.35463e-27        6.97543e-28
700.0000     2.0148      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.39624e-27        1.55826e-27        8.02395e-28
750.0000     1.9629      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.64522e-27        1.83613e-27        9.4548e-28
800.0000     1.9106      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.92318e-27        2.14635e-27        1.10522e-27
900.0000     1.8739      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.48162e-27        2.76958e-27        1.42614e-27
1000.0000     1.9280      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.97776e-27        3.32329e-27        1.71127e-27
1100.0000     1.8636      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        3.72759e-27        4.16014e-27        2.14219e-27
1200.0000     1.8281      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        4.52227e-27        5.04702e-27        2.59887e-27
1300.0000     1.7945      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        5.40696e-27        6.03437e-27        3.10729e-27
1500.0000     1.7857      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        7.234e-27        8.07342e-27        4.15726e-27
1700.0000     1.7763      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        9.3406e-27        1.04245e-26        5.36789e-27
2000.0000     1.7452      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.31587e-26        1.46856e-26        7.5621e-27
2500.0000     1.7930      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.00124e-26        2.23346e-26        1.15008e-26
3000.0000     1.8055      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.86191e-26        3.194e-26        1.64469e-26
4000.0000     1.8675      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        4.91889e-26        5.48967e-26        2.82681e-26
5000.0000     1.9621      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        7.31502e-26        8.16384e-26        4.20382e-26
6000.0000     2.0338      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.01625e-25        1.13417e-25        5.84021e-26
7000.0000     2.1103      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.33307e-25        1.48776e-25        7.66093e-26
8000.0000     2.1733      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        1.69072e-25        1.88691e-25        9.71629e-26
9000.0000     2.2378      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.07807e-25        2.31921e-25        1.19423e-25
10000.0000     2.3500      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        2.44308e-25        2.72657e-25        1.404e-25
12000.0000     2.4084      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        3.43278e-25        3.83112e-25        1.97276e-25
15000.0000     2.5455      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        5.07476e-25        5.66362e-25        2.91638e-25
20000.0000     2.7199      445.9312     0.9500      2.28436e-34            2.54943e-34        1.31278e-34        8.44334e-25        9.4231e-25        4.85225e-25
