Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      226.5012     0.9503      1.49371e-34            1.94965e-34        9.0225e-35        2.28552e-31        2.98314e-31        1.38052e-31
6.0000     0.5772      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        2.34134e-31        3.056e-31        1.41424e-31
8.0000     0.8456      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        2.84142e-31        3.70872e-31        1.71631e-31
10.0000     1.0265      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        3.6571e-31        4.77339e-31        2.20901e-31
15.0000     1.2878      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        6.55895e-31        8.56099e-31        3.96181e-31
20.0000     1.5234      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        9.85743e-31        1.28663e-30        5.9542e-31
25.0000     1.5983      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        1.468e-30        1.91609e-30        8.86718e-31
30.0000     1.7309      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        1.95195e-30        2.54776e-30        1.17904e-30
40.0000     1.9027      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        3.15694e-30        4.12056e-30        1.90689e-30
50.0000     1.9585      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        4.7922e-30        6.25495e-30        2.89464e-30
60.0000     2.0509      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        6.58976e-30        8.6012e-30        3.98042e-30
70.0000     2.0953      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        8.77939e-30        1.14592e-29        5.30303e-30
80.0000     2.1677      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        1.10836e-29        1.44667e-29        6.69482e-30
90.0000     2.2023      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        1.38074e-29        1.8022e-29        8.34014e-30
