Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      233.8012     0.9502      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
6.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
8.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
10.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
15.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
20.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
25.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
30.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
40.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
50.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
60.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
70.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
80.0000     0.0000      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
90.0000     8.8396      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.19667e-12        2.18452e-11        1.18247e-12
100.0000     9.4701      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.379e-12        2.51737e-11        1.36264e-12
110.0000     9.3348      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.69277e-12        3.09015e-11        1.67269e-12
120.0000     10.0042      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.87975e-12        3.43147e-11        1.85744e-12
130.0000     10.7572      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.05167e-12        3.74531e-11        2.02732e-12
140.0000     10.7197      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.38778e-12        4.35889e-11        2.35945e-12
150.0000     11.5108      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.55269e-12        4.65993e-11        2.5224e-12
