Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      201.7012     0.9502      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
6.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
8.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
10.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
15.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
20.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
25.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
30.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
40.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
50.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
60.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
70.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
80.0000     0.0000      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
90.0000     8.8396      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.10327e-12        3.24025e-11        1.09069e-12
100.0000     9.4701      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.27137e-12        3.73396e-11        1.25687e-12
110.0000     9.3348      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.56065e-12        4.58355e-11        1.54285e-12
120.0000     10.0042      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.73303e-12        5.08983e-11        1.71327e-12
130.0000     10.7572      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.89153e-12        5.55534e-11        1.86996e-12
140.0000     10.7197      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.20141e-12        6.46544e-11        2.17631e-12
150.0000     11.5108      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.35345e-12        6.91197e-11        2.32661e-12
160.0000     12.3170      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.50244e-12        7.34955e-11        2.4739e-12
180.0000     13.1456      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.96752e-12        8.71545e-11        2.93368e-12
200.0000     13.9950      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.44124e-12        1.01068e-10        3.402e-12
220.0000     14.0115      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.159e-12        1.22148e-10        4.11157e-12
240.0000     14.8911      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.65717e-12        1.36779e-10        4.60407e-12
260.0000     15.7816      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        5.15729e-12        1.51467e-10        5.09848e-12
280.0000     15.8215      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        5.96618e-12        1.75224e-10        5.89815e-12
300.0000     16.7090      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.48512e-12        1.90465e-10        6.41117e-12
330.0000     17.6237      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        7.43972e-12        2.18501e-10        7.35488e-12
360.0000     18.5512      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        8.41124e-12        2.47034e-10        8.31532e-12
400.0000     19.4858      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        9.88616e-12        2.90352e-10        9.77343e-12
450.0000     20.4425      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.19266e-11        3.50279e-10        1.17906e-11
500.0000     20.5761      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.46286e-11        4.29636e-10        1.44618e-11
550.0000     21.5170      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.69267e-11        4.97128e-10        1.67336e-11
600.0000     22.4604      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.9298e-11        5.66774e-10        1.9078e-11
650.0000     23.3802      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.17573e-11        6.39002e-10        2.15092e-11
700.0000     23.5078      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.50964e-11        7.37069e-10        2.48102e-11
750.0000     24.4070      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.77482e-11        8.14952e-10        2.74318e-11
800.0000     25.2955      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.04624e-11        8.94665e-10        3.0115e-11
900.0000     26.2823      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.71064e-11        1.0898e-09        3.66832e-11
1000.0000     27.3654      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.39972e-11        1.29218e-09        4.34955e-11
1100.0000     27.4921      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        5.29912e-11        1.55633e-09        5.23869e-11
1200.0000     28.4265      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.0991e-11        1.79128e-09        6.02955e-11
1300.0000     29.3164      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.94071e-11        2.03845e-09        6.86156e-11
1500.0000     30.4211      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        8.90501e-11        2.61536e-09        8.80346e-11
1700.0000     31.4835      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.1052e-10        3.24593e-09        1.0926e-10
2000.0000     33.2830      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.44699e-10        4.24973e-09        1.43048e-10
2500.0000     34.8429      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.15969e-10        6.34292e-09        2.13507e-10
3000.0000     36.8018      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.94443e-10        8.64764e-09        2.91085e-10
4000.0000     39.8633      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.83252e-10        1.41929e-08        4.77741e-10
5000.0000     41.8392      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        7.19422e-10        2.11291e-08        7.11218e-10
6000.0000     44.0349      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        9.84312e-10        2.89088e-08        9.73087e-10
7000.0000     45.7211      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.29035e-09        3.78968e-08        1.27563e-09
8000.0000     47.5942      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.61902e-09        4.75499e-08        1.60056e-09
9000.0000     49.0764      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.98719e-09        5.83628e-08        1.96453e-09
10000.0000     51.3770      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.34347e-09        6.88264e-08        2.31674e-09
12000.0000     52.8506      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.2805e-09        9.63466e-08        3.24309e-09
15000.0000     56.1681      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.82303e-09        1.4165e-07        4.76803e-09
20000.0000     60.9377      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        7.90317e-09        2.32112e-07        7.81304e-09
30000.0000     68.3794      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.58469e-08        4.65416e-07        1.56662e-08
50000.0000     79.6737      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.77791e-08        1.10955e-06        3.73483e-08
100000.0000     99.0802      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.21518e-07        3.56892e-06        1.20132e-07
