Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      233.8012     0.9502      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
6.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
8.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
10.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
15.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
20.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
25.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
30.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
40.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
50.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
60.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
70.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
80.0000     0.0000      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        inf        inf        inf
90.0000     8.8396      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        3.78991e-19        5.02116e-19        4.26922e-19
100.0000     9.4701      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        4.36737e-19        5.78622e-19        4.91971e-19
110.0000     9.3348      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        5.36108e-19        7.10277e-19        6.03911e-19
120.0000     10.0042      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        5.95324e-19        7.88731e-19        6.70615e-19
130.0000     10.7572      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        6.49772e-19        8.60868e-19        7.3195e-19
140.0000     10.7197      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        7.56221e-19        1.0019e-18        8.51861e-19
150.0000     11.5108      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        8.08448e-19        1.07109e-18        9.10694e-19
160.0000     12.3170      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        8.59629e-19        1.1389e-18        9.68347e-19
180.0000     13.1456      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.01939e-18        1.35057e-18        1.14831e-18
200.0000     13.9950      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.18212e-18        1.56617e-18        1.33163e-18
220.0000     14.0115      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.42868e-18        1.89283e-18        1.60937e-18
240.0000     14.8911      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.59981e-18        2.11956e-18        1.80215e-18
260.0000     15.7816      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.77161e-18        2.34717e-18        1.99567e-18
280.0000     15.8215      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.04948e-18        2.71531e-18        2.30868e-18
300.0000     16.7090      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.22774e-18        2.95149e-18        2.50949e-18
330.0000     17.6237      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.55566e-18        3.38594e-18        2.87888e-18
360.0000     18.5512      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.8894e-18        3.8281e-18        3.25482e-18
400.0000     19.4858      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        3.39606e-18        4.49936e-18        3.82556e-18
450.0000     20.4425      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        4.09699e-18        5.42801e-18        4.61514e-18
500.0000     20.5761      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        5.02517e-18        6.65773e-18        5.66071e-18
550.0000     21.5170      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        5.81458e-18        7.7036e-18        6.54996e-18
600.0000     22.4604      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        6.62918e-18        8.78285e-18        7.46759e-18
650.0000     23.3802      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        7.47399e-18        9.90212e-18        8.41924e-18
700.0000     23.5078      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        8.62101e-18        1.14218e-17        9.71133e-18
750.0000     24.4070      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        9.53196e-18        1.26287e-17        1.07375e-17
800.0000     25.2955      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.04643e-17        1.38639e-17        1.17878e-17
900.0000     26.2823      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.27466e-17        1.68877e-17        1.43587e-17
1000.0000     27.3654      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.51138e-17        2.00239e-17        1.70252e-17
1100.0000     27.4921      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        1.82033e-17        2.41172e-17        2.05055e-17
1200.0000     28.4265      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.09514e-17        2.7758e-17        2.36012e-17
1300.0000     29.3164      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        2.38424e-17        3.15883e-17        2.68578e-17
1500.0000     30.4211      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        3.05901e-17        4.05282e-17        3.44589e-17
1700.0000     31.4835      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        3.79655e-17        5.02996e-17        4.2767e-17
2000.0000     33.2830      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        4.97063e-17        6.58547e-17        5.59927e-17
2500.0000     34.8429      233.8012     0.9500      1.64564e-23            2.18027e-23        1.85376e-23        7.4189e-17        9.82913e-17        8.35718e-17
