Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      201.7012     0.9502      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
6.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
8.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
10.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
15.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
20.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
25.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
30.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
40.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
50.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
60.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
70.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
80.0000     0.0000      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
90.0000     8.8396      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        3.66947e-19        3.39266e-18        3.47439e-19
100.0000     9.4701      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        4.22858e-19        3.90959e-18        4.00377e-19
110.0000     9.3348      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        5.19072e-19        4.79915e-18        4.91476e-19
120.0000     10.0042      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        5.76406e-19        5.32924e-18        5.45762e-19
130.0000     10.7572      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        6.29123e-19        5.81665e-18        5.95677e-19
140.0000     10.7197      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        7.3219e-19        6.76957e-18        6.93264e-19
150.0000     11.5108      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        7.82758e-19        7.2371e-18        7.41144e-19
160.0000     12.3170      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        8.32311e-19        7.69526e-18        7.88063e-19
180.0000     13.1456      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        9.86996e-19        9.12541e-18        9.34524e-19
200.0000     13.9950      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.14456e-18        1.05822e-17        1.08371e-18
220.0000     14.0115      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.38328e-18        1.27893e-17        1.30974e-18
240.0000     14.8911      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.54898e-18        1.43213e-17        1.46663e-18
260.0000     15.7816      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.71531e-18        1.58592e-17        1.62412e-18
280.0000     15.8215      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.98435e-18        1.83466e-17        1.87886e-18
300.0000     16.7090      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.15695e-18        1.99424e-17        2.04228e-18
330.0000     17.6237      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.47445e-18        2.28779e-17        2.3429e-18
360.0000     18.5512      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.79758e-18        2.58654e-17        2.64885e-18
400.0000     19.4858      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        3.28814e-18        3.04009e-17        3.11333e-18
450.0000     20.4425      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        3.9668e-18        3.66756e-17        3.75591e-18
500.0000     20.5761      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        4.86548e-18        4.49845e-17        4.60682e-18
550.0000     21.5170      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        5.6298e-18        5.20512e-17        5.3305e-18
600.0000     22.4604      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        6.41852e-18        5.93433e-17        6.07729e-18
650.0000     23.3802      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        7.23648e-18        6.6906e-17        6.85177e-18
700.0000     23.5078      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        8.34705e-18        7.71739e-17        7.90329e-18
750.0000     24.4070      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        9.22905e-18        8.53286e-17        8.73841e-18
800.0000     25.2955      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.01318e-17        9.36749e-17        9.59314e-18
900.0000     26.2823      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.23416e-17        1.14106e-16        1.16854e-17
1000.0000     27.3654      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.46335e-17        1.35296e-16        1.38555e-17
1100.0000     27.4921      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.76249e-17        1.62953e-16        1.66879e-17
1200.0000     28.4265      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.02856e-17        1.87554e-16        1.92072e-17
1300.0000     29.3164      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.30848e-17        2.13434e-16        2.18575e-17
1500.0000     30.4211      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.96181e-17        2.73838e-16        2.80435e-17
1700.0000     31.4835      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        3.6759e-17        3.39861e-16        3.48048e-17
2000.0000     33.2830      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        4.81267e-17        4.44962e-16        4.55681e-17
2500.0000     34.8429      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        7.18314e-17        6.64127e-16        6.80126e-17
3000.0000     36.8018      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        9.79316e-17        9.0544e-16        9.27252e-17
4000.0000     39.8633      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.60729e-16        1.48605e-15        1.52185e-16
5000.0000     41.8392      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.3928e-16        2.21229e-15        2.26559e-16
