Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
6.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
8.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
10.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
15.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
20.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
25.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
30.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
40.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
50.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
60.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
70.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
80.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
90.0000     8.8396      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.05793e-25        2.11663e-25        7.88463e-26
100.0000     9.4701      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.21913e-25        2.43913e-25        9.08599e-26
110.0000     9.3348      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.49652e-25        2.99411e-25        1.11533e-25
120.0000     10.0042      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.66181e-25        3.32483e-25        1.23853e-25
130.0000     10.7572      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.8138e-25        3.62892e-25        1.3518e-25
140.0000     10.7197      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.11095e-25        4.22342e-25        1.57326e-25
150.0000     11.5108      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.25674e-25        4.51511e-25        1.68192e-25
160.0000     12.3170      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.39961e-25        4.80095e-25        1.7884e-25
180.0000     13.1456      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.84557e-25        5.6932e-25        2.12077e-25
200.0000     13.9950      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        3.29983e-25        6.60205e-25        2.45932e-25
220.0000     14.0115      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        3.98809e-25        7.97906e-25        2.97227e-25
240.0000     14.8911      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.46579e-25        8.93482e-25        3.3283e-25
260.0000     15.7816      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.94536e-25        9.89429e-25        3.68571e-25
280.0000     15.8215      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        5.72101e-25        1.14462e-24        4.26379e-25
300.0000     16.7090      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        6.21862e-25        1.24417e-24        4.63466e-25
330.0000     17.6237      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        7.134e-25        1.42732e-24        5.31688e-25
360.0000     18.5512      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        8.06559e-25        1.6137e-24        6.01118e-25
400.0000     19.4858      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        9.4799e-25        1.89667e-24        7.06525e-25
450.0000     20.4425      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.14365e-24        2.28813e-24        8.52349e-25
500.0000     20.5761      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.40275e-24        2.80651e-24        1.04545e-24
