Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      387.9012     0.9503      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
6.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
8.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
10.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
15.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
20.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
25.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
30.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
40.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
50.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
60.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
70.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
80.0000     0.0000      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
90.0000     8.8396      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.07762e-25        2.68293e-25        8.20367e-26
100.0000     9.4701      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.24181e-25        3.09172e-25        9.45364e-26
110.0000     9.3348      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.52436e-25        3.79518e-25        1.16046e-25
120.0000     10.0042      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.69273e-25        4.21437e-25        1.28864e-25
130.0000     10.7572      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.84755e-25        4.59982e-25        1.4065e-25
140.0000     10.7197      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.15023e-25        5.35339e-25        1.63692e-25
150.0000     11.5108      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.29873e-25        5.72311e-25        1.74997e-25
160.0000     12.3170      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.44426e-25        6.08542e-25        1.86076e-25
180.0000     13.1456      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.89852e-25        7.2164e-25        2.20658e-25
200.0000     13.9950      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.36123e-25        8.3684e-25        2.55883e-25
220.0000     14.0115      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        4.06229e-25        1.01138e-24        3.09254e-25
240.0000     14.8911      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        4.54889e-25        1.13253e-24        3.46297e-25
260.0000     15.7816      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        5.03738e-25        1.25415e-24        3.83485e-25
280.0000     15.8215      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        5.82746e-25        1.45085e-24        4.43632e-25
300.0000     16.7090      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        6.33433e-25        1.57705e-24        4.82219e-25
330.0000     17.6237      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        7.26674e-25        1.80919e-24        5.53202e-25
360.0000     18.5512      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        8.21567e-25        2.04544e-24        6.25441e-25
400.0000     19.4858      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        9.65629e-25        2.40411e-24        7.35113e-25
450.0000     20.4425      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.16493e-24        2.90031e-24        8.86838e-25
500.0000     20.5761      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.42885e-24        3.55738e-24        1.08775e-24
550.0000     21.5170      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.65331e-24        4.11622e-24        1.25863e-24
600.0000     22.4604      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.88493e-24        4.69288e-24        1.43496e-24
650.0000     23.3802      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.12514e-24        5.29094e-24        1.61783e-24
700.0000     23.5078      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.45129e-24        6.10293e-24        1.86611e-24
750.0000     24.4070      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.7103e-24        6.7478e-24        2.0633e-24
800.0000     25.2955      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.97541e-24        7.40783e-24        2.26512e-24
900.0000     26.2823      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.62436e-24        9.02351e-24        2.75915e-24
1000.0000     27.3654      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        4.29742e-24        1.06992e-23        3.27154e-24
1100.0000     27.4921      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        5.17591e-24        1.28864e-23        3.94031e-24
1200.0000     28.4265      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        5.95729e-24        1.48318e-23        4.53516e-24
1300.0000     29.3164      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        6.77933e-24        1.68784e-23        5.16096e-24
1500.0000     30.4211      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        8.69795e-24        2.16552e-23        6.62157e-24
1700.0000     31.4835      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.0795e-23        2.68763e-23        8.21804e-24
2000.0000     33.2830      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.41334e-23        3.51877e-23        1.07595e-23
2500.0000     34.8429      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.10948e-23        5.25193e-23        1.6059e-23
3000.0000     36.8018      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.87596e-23        7.16024e-23        2.18941e-23
4000.0000     39.8633      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        4.72015e-23        1.17517e-22        3.59335e-23
5000.0000     41.8392      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        7.02694e-23        1.74949e-22        5.34946e-23
6000.0000     44.0349      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        9.61425e-23        2.39365e-22        7.31913e-23
7000.0000     45.7211      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.26034e-22        3.13786e-22        9.59473e-23
8000.0000     47.5942      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.58138e-22        3.93713e-22        1.20387e-22
9000.0000     49.0764      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.94098e-22        4.83244e-22        1.47763e-22
10000.0000     51.3770      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.28898e-22        5.69883e-22        1.74255e-22
12000.0000     52.8506      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.20422e-22        7.9775e-22        2.43931e-22
