Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      233.8012     0.9502      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
6.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
8.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
10.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
15.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
20.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
25.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
30.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
40.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
50.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
60.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
70.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
80.0000     0.0000      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
90.0000     8.8396      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        3.12357e-30        1.20186e-30        1.12712e-30
100.0000     9.4701      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        3.5995e-30        1.38498e-30        1.29886e-30
110.0000     9.3348      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        4.4185e-30        1.70011e-30        1.59439e-30
120.0000     10.0042      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        4.90655e-30        1.88789e-30        1.7705e-30
130.0000     10.7572      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        5.3553e-30        2.06056e-30        1.93243e-30
140.0000     10.7197      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        6.23263e-30        2.39813e-30        2.24901e-30
150.0000     11.5108      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        6.66308e-30        2.56375e-30        2.40434e-30
160.0000     12.3170      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        7.0849e-30        2.72606e-30        2.55655e-30
180.0000     13.1456      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        8.40162e-30        3.23269e-30        3.03168e-30
200.0000     13.9950      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        9.74284e-30        3.74875e-30        3.51565e-30
220.0000     14.0115      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        1.17749e-29        4.53064e-30        4.24892e-30
240.0000     14.8911      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        1.31854e-29        5.07334e-30        4.75787e-30
260.0000     15.7816      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        1.46013e-29        5.61814e-30        5.2688e-30
280.0000     15.8215      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        1.68914e-29        6.49932e-30        6.09518e-30
300.0000     16.7090      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        1.83607e-29        7.06463e-30        6.62534e-30
330.0000     17.6237      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        2.10633e-29        8.10453e-30        7.60058e-30
360.0000     18.5512      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        2.38139e-29        9.16286e-30        8.59311e-30
400.0000     19.4858      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        2.79897e-29        1.07696e-29        1.00999e-29
450.0000     20.4425      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        3.37666e-29        1.29924e-29        1.21845e-29
500.0000     20.5761      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        4.14165e-29        1.59358e-29        1.49449e-29
550.0000     21.5170      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        4.79227e-29        1.84392e-29        1.72926e-29
600.0000     22.4604      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        5.46365e-29        2.10225e-29        1.97153e-29
