Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      226.5012     0.9503      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
6.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
8.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
10.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
15.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
20.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
25.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
30.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
40.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
50.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
60.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
70.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
80.0000     0.0000      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        inf        inf        inf
90.0000     8.8396      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        3.44002e-30        1.50294e-30        1.40962e-30
100.0000     9.4701      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        3.96417e-30        1.73194e-30        1.62441e-30
110.0000     9.3348      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        4.86615e-30        2.12601e-30        1.99401e-30
120.0000     10.0042      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        5.40364e-30        2.36084e-30        2.21426e-30
130.0000     10.7572      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        5.89785e-30        2.57676e-30        2.41677e-30
140.0000     10.7197      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        6.86407e-30        2.9989e-30        2.8127e-30
150.0000     11.5108      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        7.33813e-30        3.20602e-30        3.00696e-30
160.0000     12.3170      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        7.80268e-30        3.40898e-30        3.19732e-30
180.0000     13.1456      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        9.2528e-30        4.04254e-30        3.79154e-30
200.0000     13.9950      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.07299e-29        4.68788e-30        4.39681e-30
220.0000     14.0115      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.29679e-29        5.66564e-30        5.31387e-30
240.0000     14.8911      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.45212e-29        6.34429e-30        5.95038e-30
260.0000     15.7816      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.60806e-29        7.02558e-30        6.58937e-30
280.0000     15.8215      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.86027e-29        8.1275e-30        7.62287e-30
300.0000     16.7090      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        2.02208e-29        8.83443e-30        8.28591e-30
330.0000     17.6237      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        2.31973e-29        1.01349e-29        9.50558e-30
360.0000     18.5512      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        2.62265e-29        1.14583e-29        1.07469e-29
400.0000     19.4858      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        3.08253e-29        1.34675e-29        1.26314e-29
450.0000     20.4425      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        3.71876e-29        1.62472e-29        1.52384e-29
500.0000     20.5761      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        4.56125e-29        1.9928e-29        1.86907e-29
550.0000     21.5170      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        5.27778e-29        2.30585e-29        2.16268e-29
600.0000     22.4604      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        6.01718e-29        2.6289e-29        2.46567e-29
650.0000     23.3802      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        6.78399e-29        2.96392e-29        2.77989e-29
700.0000     23.5078      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        7.82512e-29        3.41878e-29        3.20651e-29
750.0000     24.4070      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        8.65197e-29        3.78003e-29        3.54533e-29
800.0000     25.2955      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        9.49826e-29        4.14977e-29        3.89212e-29
900.0000     26.2823      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.15699e-28        5.05486e-29        4.741e-29
1000.0000     27.3654      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.37185e-28        5.99357e-29        5.62143e-29
1100.0000     27.4921      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.65228e-28        7.21879e-29        6.77058e-29
1200.0000     28.4265      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.90172e-28        8.30858e-29        7.7927e-29
1300.0000     29.3164      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        2.16413e-28        9.45506e-29        8.868e-29
1500.0000     30.4211      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        2.77661e-28        1.2131e-28        1.13778e-28
1700.0000     31.4835      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        3.44605e-28        1.50558e-28        1.41209e-28
2000.0000     33.2830      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        4.51174e-28        1.97117e-28        1.84878e-28
2500.0000     34.8429      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        6.73399e-28        2.94207e-28        2.7594e-28
3000.0000     36.8018      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        9.1808e-28        4.01108e-28        3.76203e-28
4000.0000     39.8633      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        1.50679e-27        6.58316e-28        6.17441e-28
5000.0000     41.8392      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        2.24318e-27        9.80041e-28        9.19191e-28
6000.0000     44.0349      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        3.06911e-27        1.34089e-27        1.25764e-27
7000.0000     45.7211      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        4.02333e-27        1.75779e-27        1.64865e-27
8000.0000     47.5942      226.5012     0.9500      1.49371e-34            6.52601e-35        6.12081e-35        5.04815e-27        2.20553e-27        2.06859e-27
