Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      233.8012     0.9502      5.19613e-17            9.48553e-16        5.13448e-17        inf        nan        nan
6.0000     0.1805      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.60459e-13        4.75468e-12        2.57369e-13
8.0000     0.5094      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.64076e-13        2.9952e-12        1.62129e-13
10.0000     0.8731      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.49568e-13        2.73036e-12        1.47793e-13
15.0000     1.6321      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.80032e-13        3.28648e-12        1.77896e-13
20.0000     2.7783      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.88019e-13        3.43229e-12        1.85789e-13
25.0000     3.1984      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.55189e-13        4.65847e-12        2.52161e-13
30.0000     4.2809      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.74552e-13        5.01195e-12        2.71295e-13
40.0000     6.2548      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        3.34062e-13        6.09829e-12        3.30098e-13
50.0000     6.9588      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        4.69162e-13        8.56455e-12        4.63596e-13
60.0000     8.6092      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        5.46083e-13        9.96874e-12        5.39604e-13
70.0000     9.4855      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        6.74614e-13        1.23151e-11        6.6661e-13
80.0000     11.4537      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        7.29716e-13        1.3321e-11        7.21058e-13
90.0000     12.5081      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        8.45695e-13        1.54381e-11        8.35661e-13
100.0000     13.6125      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        9.5936e-13        1.75131e-11        9.47977e-13
110.0000     13.5965      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.16219e-12        2.12158e-11        1.1484e-12
120.0000     14.7423      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.27561e-12        2.32863e-11        1.26048e-12
130.0000     15.9288      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.38555e-12        2.52933e-11        1.36911e-12
140.0000     15.9343      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.60636e-12        2.93241e-11        1.5873e-12
150.0000     17.1584      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.71248e-12        3.12614e-11        1.69216e-12
160.0000     18.4057      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.81638e-12        3.3158e-11        1.79483e-12
180.0000     19.7107      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.14666e-12        3.91872e-11        2.12119e-12
200.0000     21.0547      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.48103e-12        4.52911e-11        2.45159e-12
220.0000     21.1230      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.99233e-12        5.46249e-11        2.95683e-12
240.0000     22.5129      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        3.34127e-12        6.09948e-11        3.30163e-12
260.0000     23.9246      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        3.68997e-12        6.73604e-11        3.64619e-12
280.0000     24.0050      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        4.26514e-12        7.78601e-11        4.21454e-12
300.0000     25.4572      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        4.61691e-12        8.42817e-11        4.56213e-12
330.0000     26.9901      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        5.26919e-12        9.6189e-11        5.20667e-12
360.0000     28.5501      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        5.92812e-12        1.08218e-10        5.85778e-12
400.0000     30.1833      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        6.92267e-12        1.26373e-10        6.84053e-12
450.0000     31.9128      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        8.28668e-12        1.51273e-10        8.18836e-12
500.0000     32.1383      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.01587e-11        1.85446e-10        1.00381e-11
550.0000     33.8902      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.16566e-11        2.12791e-10        1.15183e-11
600.0000     35.6831      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.31753e-11        2.40515e-10        1.3019e-11
650.0000     37.4968      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.47147e-11        2.68617e-10        1.45402e-11
700.0000     37.7280      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.6961e-11        3.09623e-10        1.67598e-11
750.0000     39.5657      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.85662e-11        3.38927e-10        1.8346e-11
800.0000     41.4192      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.01789e-11        3.68366e-10        1.99395e-11
900.0000     43.5217      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.43052e-11        4.43691e-10        2.40168e-11
1000.0000     45.7911      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.85193e-11        5.20619e-10        2.81809e-11
1100.0000     46.0816      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        3.42908e-11        6.25979e-10        3.3884e-11
1200.0000     48.1878      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        3.90252e-11        7.12405e-10        3.85622e-11
1300.0000     50.3223      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        4.38577e-11        8.00622e-10        4.33374e-11
1500.0000     52.8476      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        5.56003e-11        1.01498e-09        5.49406e-11
1700.0000     55.3598      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        6.81747e-11        1.24453e-09        6.73658e-11
2000.0000     59.9732      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        8.7101e-11        1.59003e-09        8.60675e-11
2500.0000     63.4336      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.28671e-10        2.34889e-09        1.27144e-10
3000.0000     68.5687      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.7141e-10        3.12909e-09        1.69377e-10
4000.0000     76.7353      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.72298e-10        4.9708e-09        2.69068e-10
5000.0000     81.0794      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        4.0267e-10        7.35074e-09        3.97893e-10
6000.0000     86.9489      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        5.40703e-10        9.87052e-09        5.34287e-10
7000.0000     90.8396      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        7.04435e-10        1.28595e-08        6.96077e-10
8000.0000     96.2870      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        8.68025e-10        1.58458e-08        8.57726e-10
9000.0000     99.8859      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.05901e-09        1.93322e-08        1.04645e-09
10000.0000     104.7241      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.24702e-09        2.27643e-08        1.23222e-09
12000.0000     108.3591      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.73547e-09        3.1681e-08        1.71488e-09
15000.0000     116.1146      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        2.53055e-09        4.61952e-08        2.50053e-09
20000.0000     127.3490      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        4.10189e-09        7.488e-08        4.05323e-09
30000.0000     142.4974      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        8.24813e-09        1.5057e-07        8.15027e-09
50000.0000     163.9986      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        1.99076e-08        3.63414e-07        1.96714e-08
100000.0000     198.6678      233.8012     0.9500      5.19613e-17            9.48553e-16        5.13448e-17        6.57344e-08        1.19998e-06        6.49545e-08
