Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      201.7012     0.9502      4.79057e-17            1.40697e-15        4.73594e-17        inf        nan        nan
6.0000     0.1805      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.4013e-13        7.05251e-12        2.37392e-13
8.0000     0.5094      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.51269e-13        4.44271e-12        1.49544e-13
10.0000     0.8731      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.37894e-13        4.04988e-12        1.36322e-13
15.0000     1.6321      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.6598e-13        4.87476e-12        1.64087e-13
20.0000     2.7783      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.73344e-13        5.09104e-12        1.71368e-13
25.0000     3.1984      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.35271e-13        6.90981e-12        2.32588e-13
30.0000     4.2809      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.53123e-13        7.43411e-12        2.50237e-13
40.0000     6.2548      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.07988e-13        9.04546e-12        3.04476e-13
50.0000     6.9588      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.32544e-13        1.27036e-11        4.27611e-13
60.0000     8.6092      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        5.03461e-13        1.47864e-11        4.9772e-13
70.0000     9.4855      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.2196e-13        1.82667e-11        6.14868e-13
80.0000     11.4537      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.72761e-13        1.97587e-11        6.65089e-13
90.0000     12.5081      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        7.79688e-13        2.2899e-11        7.70796e-13
100.0000     13.6125      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        8.84481e-13        2.59768e-11        8.74395e-13
110.0000     13.5965      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.07148e-12        3.14689e-11        1.05926e-12
120.0000     14.7423      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.17605e-12        3.454e-11        1.16264e-12
130.0000     15.9288      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.27741e-12        3.75169e-11        1.26284e-12
140.0000     15.9343      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.48098e-12        4.34958e-11        1.46409e-12
150.0000     17.1584      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.57882e-12        4.63692e-11        1.56082e-12
160.0000     18.4057      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.67461e-12        4.91826e-11        1.65552e-12
180.0000     19.7107      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.97911e-12        5.81255e-11        1.95654e-12
200.0000     21.0547      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.28738e-12        6.71792e-11        2.2613e-12
220.0000     21.1230      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.75877e-12        8.10239e-11        2.72732e-12
240.0000     22.5129      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.08048e-12        9.04722e-11        3.04535e-12
260.0000     23.9246      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.40197e-12        9.99141e-11        3.36317e-12
280.0000     24.0050      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.93225e-12        1.15488e-10        3.8874e-12
300.0000     25.4572      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.25656e-12        1.25013e-10        4.20802e-12
330.0000     26.9901      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.85792e-12        1.42675e-10        4.80253e-12
360.0000     28.5501      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        5.46542e-12        1.60517e-10        5.4031e-12
400.0000     30.1833      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.38235e-12        1.87446e-10        6.30956e-12
450.0000     31.9128      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        7.63989e-12        2.2438e-10        7.55277e-12
500.0000     32.1383      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        9.36578e-12        2.75068e-10        9.25898e-12
550.0000     33.8902      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.07468e-11        3.15628e-10        1.06242e-11
600.0000     35.6831      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.2147e-11        3.5675e-10        1.20084e-11
650.0000     37.4968      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.35662e-11        3.98434e-10        1.34115e-11
700.0000     37.7280      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.56372e-11        4.59257e-10        1.54589e-11
750.0000     39.5657      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.71171e-11        5.02722e-10        1.69219e-11
800.0000     41.4192      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.86039e-11        5.46389e-10        1.83918e-11
900.0000     43.5217      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.24082e-11        6.58117e-10        2.21526e-11
1000.0000     45.7911      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.62933e-11        7.72223e-10        2.59935e-11
1100.0000     46.0816      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.16144e-11        9.285e-10        3.12539e-11
1200.0000     48.1878      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.59793e-11        1.05669e-09        3.5569e-11
1300.0000     50.3223      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.04346e-11        1.18754e-09        3.99735e-11
1500.0000     52.8476      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        5.12607e-11        1.5055e-09        5.06761e-11
1700.0000     55.3598      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.28536e-11        1.84598e-09        6.21368e-11
2000.0000     59.9732      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        8.03027e-11        2.35845e-09        7.93869e-11
2500.0000     63.4336      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.18628e-10        3.48405e-09        1.17275e-10
3000.0000     68.5687      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.58032e-10        4.64131e-09        1.56229e-10
4000.0000     76.7353      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.51045e-10        7.37308e-09        2.48182e-10
5000.0000     81.0794      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.71241e-10        1.09032e-08        3.67008e-10
6000.0000     86.9489      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        4.985e-10        1.46407e-08        4.92816e-10
7000.0000     90.8396      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.49454e-10        1.90741e-08        6.42048e-10
8000.0000     96.2870      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        8.00275e-10        2.35037e-08        7.91149e-10
9000.0000     99.8859      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        9.76355e-10        2.86751e-08        9.65221e-10
10000.0000     104.7241      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.14969e-09        3.37658e-08        1.13658e-09
12000.0000     108.3591      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.60002e-09        4.69917e-08        1.58177e-09
15000.0000     116.1146      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        2.33304e-09        6.85203e-08        2.30644e-09
20000.0000     127.3490      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        3.78174e-09        1.11068e-07        3.73861e-09
30000.0000     142.4974      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        7.60436e-09        2.23336e-07        7.51764e-09
50000.0000     163.9986      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        1.83538e-08        5.39043e-07        1.81445e-08
100000.0000     198.6678      201.7012     0.9500      4.79057e-17            1.40697e-15        4.73594e-17        6.06038e-08        1.7799e-06        5.99127e-08
