Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      233.8012     0.9502      1.64564e-23            1.09844e-22        1.55308e-23        inf        nan        nan
6.0000     0.1805      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        8.24886e-20        5.50599e-19        7.78492e-20
8.0000     0.5094      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        5.19634e-20        3.46848e-19        4.90408e-20
10.0000     0.8731      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        4.73689e-20        3.1618e-19        4.47047e-20
15.0000     1.6321      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        5.70169e-20        3.80579e-19        5.381e-20
20.0000     2.7783      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        5.95465e-20        3.97464e-19        5.61974e-20
25.0000     3.1984      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        8.08195e-20        5.39458e-19        7.62739e-20
30.0000     4.2809      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        8.69519e-20        5.80391e-19        8.20614e-20
40.0000     6.2548      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        1.05799e-19        7.06191e-19        9.98483e-20
50.0000     6.9588      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        1.48586e-19        9.91787e-19        1.40229e-19
60.0000     8.6092      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        1.72947e-19        1.15439e-18        1.6322e-19
70.0000     9.4855      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        2.13653e-19        1.4261e-18        2.01637e-19
80.0000     11.4537      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        2.31104e-19        1.54258e-18        2.18106e-19
90.0000     12.5081      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        2.67835e-19        1.78776e-18        2.52771e-19
100.0000     13.6125      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        3.03834e-19        2.02804e-18        2.86745e-19
110.0000     13.5965      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        3.68071e-19        2.45682e-18        3.47369e-19
120.0000     14.7423      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        4.03991e-19        2.69658e-18        3.81269e-19
130.0000     15.9288      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        4.38811e-19        2.92899e-18        4.1413e-19
140.0000     15.9343      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        5.08742e-19        3.39577e-18        4.80128e-19
150.0000     17.1584      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        5.42351e-19        3.62011e-18        5.11847e-19
160.0000     18.4057      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        5.75256e-19        3.83975e-18        5.42902e-19
180.0000     19.7107      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        6.79856e-19        4.53793e-18        6.41618e-19
200.0000     21.0547      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        7.85752e-19        5.24477e-18        7.41558e-19
220.0000     21.1230      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        9.47684e-19        6.32564e-18        8.94382e-19
240.0000     22.5129      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        1.05819e-18        7.06329e-18        9.98678e-19
260.0000     23.9246      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        1.16863e-18        7.80043e-18        1.1029e-18
280.0000     24.0050      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        1.35079e-18        9.01631e-18        1.27482e-18
300.0000     25.4572      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        1.4622e-18        9.75994e-18        1.37996e-18
330.0000     26.9901      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        1.66878e-18        1.11388e-17        1.57492e-18
360.0000     28.5501      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        1.87746e-18        1.25318e-17        1.77187e-18
400.0000     30.1833      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        2.19244e-18        1.46342e-17        2.06913e-18
450.0000     31.9128      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        2.62443e-18        1.75176e-17        2.47682e-18
500.0000     32.1383      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        3.2173e-18        2.1475e-17        3.03634e-18
550.0000     33.8902      233.8012     0.9500      1.64564e-23            1.09844e-22        1.55308e-23        3.69169e-18        2.46415e-17        3.48406e-18
