Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      201.7012     0.9502      1.59334e-23            1.47315e-22        1.50864e-23        inf        nan        nan
6.0000     0.1805      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        7.98673e-20        7.38425e-19        7.56213e-20
8.0000     0.5094      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        5.03121e-20        4.65168e-19        4.76374e-20
10.0000     0.8731      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        4.58636e-20        4.24038e-19        4.34253e-20
15.0000     1.6321      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        5.5205e-20        5.10406e-19        5.22701e-20
20.0000     2.7783      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        5.76543e-20        5.33051e-19        5.45892e-20
25.0000     3.1984      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        7.82512e-20        7.23483e-19        7.40911e-20
30.0000     4.2809      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        8.41888e-20        7.78379e-19        7.9713e-20
40.0000     6.2548      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.02437e-19        9.47094e-19        9.69909e-20
50.0000     6.9588      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.43864e-19        1.33012e-18        1.36216e-19
60.0000     8.6092      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.67451e-19        1.54819e-18        1.58549e-19
70.0000     9.4855      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.06864e-19        1.91259e-18        1.95866e-19
80.0000     11.4537      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.2376e-19        2.06881e-18        2.11864e-19
90.0000     12.5081      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.59324e-19        2.39762e-18        2.45537e-19
100.0000     13.6125      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        2.94178e-19        2.71987e-18        2.78539e-19
110.0000     13.5965      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        3.56374e-19        3.29491e-18        3.37428e-19
120.0000     14.7423      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        3.91153e-19        3.61647e-18        3.70358e-19
130.0000     15.9288      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        4.24866e-19        3.92816e-18        4.02279e-19
140.0000     15.9343      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        4.92575e-19        4.55417e-18        4.66388e-19
150.0000     17.1584      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        5.25116e-19        4.85504e-18        4.97199e-19
160.0000     18.4057      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        5.56976e-19        5.1496e-18        5.27365e-19
180.0000     19.7107      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        6.58251e-19        6.08596e-18        6.23256e-19
200.0000     21.0547      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        7.60782e-19        7.03392e-18        7.20336e-19
220.0000     21.1230      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        9.17568e-19        8.48351e-18        8.68787e-19
240.0000     22.5129      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.02457e-18        9.47279e-18        9.70098e-19
260.0000     23.9246      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.13149e-18        1.04614e-17        1.07134e-18
280.0000     24.0050      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.30786e-18        1.2092e-17        1.23833e-18
300.0000     25.4572      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.41573e-18        1.30893e-17        1.34047e-18
330.0000     26.9901      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.61575e-18        1.49386e-17        1.52985e-18
360.0000     28.5501      201.7012     0.9500      1.59334e-23            1.47315e-22        1.50864e-23        1.8178e-18        1.68067e-17        1.72116e-18
