Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        inf        nan        nan
6.0000     0.1805      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.30262e-26        4.60691e-26        1.71612e-26
8.0000     0.5094      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.45053e-26        2.90211e-26        1.08106e-26
10.0000     0.8731      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.32228e-26        2.64551e-26        9.85475e-27
15.0000     1.6321      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.59159e-26        3.18434e-26        1.18619e-26
20.0000     2.7783      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.66221e-26        3.32562e-26        1.23882e-26
25.0000     3.1984      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.25603e-26        4.5137e-26        1.68139e-26
30.0000     4.2809      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.42722e-26        4.85619e-26        1.80897e-26
40.0000     6.2548      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        2.95332e-26        5.90877e-26        2.20107e-26
50.0000     6.9588      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.14769e-26        8.29838e-26        3.09122e-26
60.0000     8.6092      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        4.82772e-26        9.65893e-26        3.59804e-26
70.0000     9.4855      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        5.96402e-26        1.19323e-25        4.4449e-26
80.0000     11.4537      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        6.45115e-26        1.2907e-25        4.80795e-26
90.0000     12.5081      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        7.47647e-26        1.49584e-25        5.57212e-26
100.0000     13.6125      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        8.48135e-26        1.69688e-25        6.32104e-26
110.0000     13.5965      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.02745e-25        2.05564e-25        7.65745e-26
120.0000     14.7423      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.12772e-25        2.25625e-25        8.40475e-26
130.0000     15.9288      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.22492e-25        2.45072e-25        9.12914e-26
140.0000     15.9343      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.42012e-25        2.84128e-25        1.0584e-25
150.0000     17.1584      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.51394e-25        3.02898e-25        1.12832e-25
160.0000     18.4057      445.9312     0.9500      4.59371e-30            9.19074e-30        3.42363e-30        1.6058e-25        3.21275e-25        1.19678e-25
