Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      387.9012     0.9503      4.67918e-30            1.16497e-29        3.56216e-30        inf        nan        nan
6.0000     0.1805      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.34547e-26        5.83948e-26        1.78556e-26
8.0000     0.5094      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.47752e-26        3.67856e-26        1.12481e-26
10.0000     0.8731      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.34688e-26        3.3533e-26        1.02535e-26
15.0000     1.6321      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.62121e-26        4.0363e-26        1.23419e-26
20.0000     2.7783      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.69314e-26        4.21538e-26        1.28895e-26
25.0000     3.1984      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.29801e-26        5.72132e-26        1.74943e-26
30.0000     4.2809      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.47238e-26        6.15544e-26        1.88217e-26
40.0000     6.2548      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.00827e-26        7.48964e-26        2.29013e-26
50.0000     6.9588      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        4.22487e-26        1.05186e-25        3.2163e-26
60.0000     8.6092      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        4.91755e-26        1.22431e-25        3.74362e-26
70.0000     9.4855      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        6.07499e-26        1.51248e-25        4.62476e-26
80.0000     11.4537      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        6.57118e-26        1.63602e-25        5.0025e-26
90.0000     12.5081      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        7.61559e-26        1.89604e-25        5.79759e-26
100.0000     13.6125      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        8.63916e-26        2.15088e-25        6.57681e-26
110.0000     13.5965      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.04657e-25        2.60562e-25        7.96729e-26
120.0000     14.7423      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.1487e-25        2.85991e-25        8.74483e-26
130.0000     15.9288      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.24771e-25        3.1064e-25        9.49854e-26
140.0000     15.9343      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.44655e-25        3.60145e-25        1.10123e-25
150.0000     17.1584      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.54211e-25        3.83937e-25        1.17398e-25
160.0000     18.4057      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.63568e-25        4.07232e-25        1.24521e-25
180.0000     19.7107      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.93309e-25        4.81279e-25        1.47162e-25
200.0000     21.0547      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.23419e-25        5.56244e-25        1.70085e-25
220.0000     21.1230      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.69463e-25        6.70878e-25        2.05136e-25
240.0000     22.5129      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.00886e-25        7.4911e-25        2.29058e-25
260.0000     23.9246      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.32286e-25        8.27289e-25        2.52963e-25
280.0000     24.0050      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.84081e-25        9.56242e-25        2.92393e-25
300.0000     25.4572      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        4.15759e-25        1.03511e-24        3.16508e-25
330.0000     26.9901      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        4.74497e-25        1.18135e-24        3.61225e-25
360.0000     28.5501      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        5.33834e-25        1.32908e-24        4.06397e-25
400.0000     30.1833      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        6.23395e-25        1.55206e-24        4.74577e-25
450.0000     31.9128      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        7.46226e-25        1.85787e-24        5.68086e-25
500.0000     32.1383      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        9.14801e-25        2.27757e-24        6.96419e-25
550.0000     33.8902      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.04969e-24        2.6134e-24        7.99107e-25
600.0000     35.6831      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.18645e-24        2.95389e-24        9.03221e-25
650.0000     37.4968      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.32508e-24        3.29903e-24        1.00876e-24
700.0000     37.7280      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.52736e-24        3.80265e-24        1.16275e-24
750.0000     39.5657      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.67191e-24        4.16254e-24        1.27279e-24
800.0000     41.4192      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.81714e-24        4.5241e-24        1.38335e-24
900.0000     43.5217      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.18871e-24        5.4492e-24        1.66622e-24
1000.0000     45.7911      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.5682e-24        6.394e-24        1.95512e-24
1100.0000     46.0816      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.08793e-24        7.68798e-24        2.35078e-24
1200.0000     48.1878      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.51427e-24        8.74942e-24        2.67534e-24
1300.0000     50.3223      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.94944e-24        9.83287e-24        3.00663e-24
1500.0000     52.8476      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        5.00688e-24        1.24656e-23        3.81163e-24
1700.0000     55.3598      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        6.13921e-24        1.52847e-23        4.67365e-24
2000.0000     59.9732      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        7.84355e-24        1.9528e-23        5.97113e-24
2500.0000     63.4336      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.1587e-23        2.8848e-23        8.82093e-24
3000.0000     68.5687      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.54357e-23        3.84301e-23        1.17509e-23
4000.0000     76.7353      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.45208e-23        6.10491e-23        1.86672e-23
5000.0000     81.0794      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.6261e-23        9.02783e-23        2.76047e-23
6000.0000     86.9489      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        4.86909e-23        1.21225e-22        3.70674e-23
7000.0000     90.8396      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        6.34353e-23        1.57934e-22        4.82919e-23
8000.0000     96.2870      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        7.81668e-23        1.94611e-22        5.95067e-23
9000.0000     99.8859      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        9.53653e-23        2.3743e-22        7.25996e-23
10000.0000     104.7241      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.12296e-22        2.79581e-22        8.54884e-23
12000.0000     108.3591      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        1.56281e-22        3.89091e-22        1.18974e-22
15000.0000     116.1146      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        2.2788e-22        5.67348e-22        1.7348e-22
20000.0000     127.3490      387.9012     0.9500      4.67918e-30            1.16497e-29        3.56216e-30        3.69381e-22        9.19642e-22        2.81202e-22
