Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      233.8012     0.9502      1.3563e-34            5.21865e-35        4.89415e-35        inf        inf        inf
6.0000     0.1805      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        6.79856e-31        2.61588e-31        2.45322e-31
8.0000     0.5094      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        4.28273e-31        1.64787e-31        1.5454e-31
10.0000     0.8731      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        3.90406e-31        1.50216e-31        1.40876e-31
15.0000     1.6321      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        4.69923e-31        1.80812e-31        1.69569e-31
20.0000     2.7783      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        4.90772e-31        1.88834e-31        1.77092e-31
25.0000     3.1984      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        6.661e-31        2.56295e-31        2.40358e-31
30.0000     4.2809      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        7.16642e-31        2.75742e-31        2.58596e-31
40.0000     6.2548      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        8.71975e-31        3.3551e-31        3.14647e-31
50.0000     6.9588      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        1.22462e-30        4.71196e-31        4.41896e-31
60.0000     8.6092      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        1.4254e-30        5.4845e-31        5.14347e-31
70.0000     9.4855      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        1.76089e-30        6.77538e-31        6.35408e-31
80.0000     11.4537      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        1.90472e-30        7.32878e-31        6.87307e-31
90.0000     12.5081      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        2.20745e-30        8.4936e-31        7.96546e-31
100.0000     13.6125      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        2.50414e-30        9.63518e-31        9.03605e-31
110.0000     13.5965      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        3.03357e-30        1.16723e-30        1.09465e-30
120.0000     14.7423      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        3.32962e-30        1.28114e-30        1.20148e-30
130.0000     15.9288      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        3.6166e-30        1.39156e-30        1.30503e-30
140.0000     15.9343      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        4.19296e-30        1.61332e-30        1.51301e-30
150.0000     17.1584      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        4.46996e-30        1.7199e-30        1.61296e-30
160.0000     18.4057      233.8012     0.9500      1.3563e-34            5.21865e-35        4.89415e-35        4.74116e-30        1.82425e-30        1.71082e-30
