Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      226.5012     0.9503      1.49371e-34            1.94965e-34        9.0225e-35        inf        nan        nan
6.0000     0.1805      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        7.48733e-31        9.77274e-31        4.52259e-31
8.0000     0.5094      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        4.71662e-31        6.15631e-31        2.84899e-31
10.0000     0.8731      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        4.29958e-31        5.61197e-31        2.59708e-31
15.0000     1.6321      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        5.17531e-31        6.75501e-31        3.12605e-31
20.0000     2.7783      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        5.40492e-31        7.05471e-31        3.26475e-31
25.0000     3.1984      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        7.33583e-31        9.575e-31        4.43107e-31
30.0000     4.2809      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        7.89245e-31        1.03015e-30        4.76729e-31
40.0000     6.2548      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        9.60315e-31        1.25344e-30        5.80061e-31
50.0000     6.9588      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        1.34868e-30        1.76035e-30        8.14648e-31
60.0000     8.6092      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        1.56981e-30        2.04897e-30        9.48212e-31
70.0000     9.4855      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        1.93929e-30        2.53123e-30        1.17139e-30
80.0000     11.4537      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        2.09769e-30        2.73798e-30        1.26707e-30
90.0000     12.5081      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        2.43109e-30        3.17315e-30        1.46845e-30
100.0000     13.6125      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        2.75784e-30        3.59963e-30        1.66582e-30
110.0000     13.5965      226.5012     0.9500      1.49371e-34            1.94965e-34        9.0225e-35        3.34091e-30        4.36068e-30        2.01801e-30
