Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0317      237.9112     0.9501      5.69182e-17            1.62708e-15        5.61112e-17        1.12651e-12        3.22027e-11        1.11054e-12
6.0000     0.0405      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.2712e-12        3.63387e-11        1.25317e-12
8.0000     0.0558      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.64166e-12        4.69289e-11        1.61838e-12
10.0000     0.0675      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        2.11856e-12        6.05617e-11        2.08852e-12
15.0000     0.0887      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        3.62796e-12        1.0371e-10        3.57652e-12
20.0000     0.1104      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        5.18376e-12        1.48184e-10        5.11026e-12
25.0000     0.1209      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        7.39544e-12        2.11408e-10        7.29059e-12
30.0000     0.1367      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        9.41919e-12        2.6926e-10        9.28564e-12
40.0000     0.1626      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.40744e-11        4.02333e-10        1.38748e-11
50.0000     0.1759      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        2.03313e-11        5.81197e-10        2.00431e-11
60.0000     0.1950      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        2.64088e-11        7.54928e-10        2.60343e-11
70.0000     0.2069      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        3.38827e-11        9.6858e-10        3.34023e-11
80.0000     0.2257      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        4.05659e-11        1.15963e-09        3.99908e-11
90.0000     0.2371      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        4.88635e-11        1.39683e-09        4.81707e-11
100.0000     0.2486      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        5.75516e-11        1.64519e-09        5.67356e-11
110.0000     0.2490      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        6.95071e-11        1.98695e-09        6.85216e-11
120.0000     0.2561      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        8.04383e-11        2.29943e-09        7.92978e-11
130.0000     0.2643      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        9.14843e-11        2.61519e-09        9.01872e-11
140.0000     0.2691      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.04195e-10        2.97853e-09        1.02717e-10
150.0000     0.2787      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.15508e-10        3.30195e-09        1.13871e-10
160.0000     0.2882      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.27083e-10        3.63283e-09        1.25281e-10
180.0000     0.3036      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.52686e-10        4.36472e-09        1.50521e-10
200.0000     0.3193      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.7918e-10        5.1221e-09        1.7664e-10
