Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0317      233.8012     0.9502      2.44879e-30            5.12218e-30        1.85749e-30        4.84659e-26        1.01377e-25        3.6763e-26
6.0000     0.0405      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        5.46907e-26        1.14397e-25        4.14848e-26
8.0000     0.0558      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        7.06292e-26        1.47736e-25        5.35747e-26
10.0000     0.0675      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        9.11469e-26        1.90653e-25        6.9138e-26
15.0000     0.0887      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.56086e-25        3.26487e-25        1.18396e-25
20.0000     0.1104      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.23021e-25        4.66496e-25        1.69169e-25
25.0000     0.1209      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.18174e-25        6.6553e-25        2.41346e-25
30.0000     0.1367      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.05242e-25        8.47652e-25        3.0739e-25
40.0000     0.1626      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        6.05522e-25        1.26658e-24        4.59309e-25
50.0000     0.1759      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        8.74716e-25        1.82966e-24        6.63502e-25
60.0000     0.1950      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.13619e-24        2.37658e-24        8.61835e-25
70.0000     0.2069      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.45774e-24        3.04917e-24        1.10574e-24
80.0000     0.2257      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.74527e-24        3.65061e-24        1.32385e-24
90.0000     0.2371      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.10226e-24        4.39733e-24        1.59463e-24
100.0000     0.2486      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.47604e-24        5.17918e-24        1.87816e-24
110.0000     0.2490      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.99041e-24        6.25508e-24        2.26832e-24
120.0000     0.2561      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.4607e-24        7.2388e-24        2.62506e-24
130.0000     0.2643      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.93593e-24        8.23285e-24        2.98554e-24
140.0000     0.2691      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.48276e-24        9.37667e-24        3.40033e-24
150.0000     0.2787      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.96952e-24        1.03948e-23        3.76955e-24
160.0000     0.2882      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        5.4675e-24        1.14365e-23        4.14729e-24
180.0000     0.3036      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        6.56901e-24        1.37405e-23        4.98282e-24
200.0000     0.3193      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        7.70888e-24        1.61248e-23        5.84745e-24
220.0000     0.3301      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        9.02333e-24        1.88742e-23        6.8445e-24
240.0000     0.3463      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.02356e-23        2.14101e-23        7.76409e-24
260.0000     0.3624      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.14792e-23        2.40113e-23        8.70738e-24
280.0000     0.3725      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.29547e-23        2.70976e-23        9.82661e-24
300.0000     0.3893      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.42294e-23        2.97638e-23        1.07935e-23
330.0000     0.4111      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.63023e-23        3.40999e-23        1.23659e-23
360.0000     0.4330      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.84205e-23        3.85304e-23        1.39725e-23
400.0000     0.4606      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.13811e-23        4.47231e-23        1.62183e-23
450.0000     0.4916      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.53521e-23        5.30294e-23        1.92304e-23
500.0000     0.5115      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.0079e-23        6.29167e-23        2.28159e-23
550.0000     0.5423      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.43281e-23        7.18047e-23        2.60391e-23
600.0000     0.5731      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.86576e-23        8.08608e-23        2.93231e-23
650.0000     0.6044      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.30252e-23        8.99966e-23        3.26361e-23
700.0000     0.6210      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.85632e-23        1.0158e-22        3.68368e-23
750.0000     0.6520      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        5.30936e-23        1.11057e-22        4.02733e-23
800.0000     0.6840      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        5.75852e-23        1.20452e-22        4.36803e-23
900.0000     0.7308      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        6.82171e-23        1.42691e-22        5.1745e-23
1000.0000     0.7872      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        7.818e-23        1.6353e-22        5.93022e-23
1100.0000     0.8042      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        9.25968e-23        1.93686e-22        7.02379e-23
1200.0000     0.8490      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.04381e-22        2.18336e-22        7.91769e-23
1300.0000     0.8934      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.16418e-22        2.43514e-22        8.83074e-23
1500.0000     0.9607      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.44138e-22        3.01496e-22        1.09334e-22
1700.0000     1.0249      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.73543e-22        3.63003e-22        1.31638e-22
2000.0000     1.1285      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.18146e-22        4.563e-22        1.65471e-22
2500.0000     1.2380      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.10699e-22        6.49895e-22        2.35676e-22
3000.0000     1.3603      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.07192e-22        8.5173e-22        3.08869e-22
4000.0000     1.5574      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        6.32301e-22        1.32259e-21        4.79622e-22
5000.0000     1.6869      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        9.12117e-22        1.90789e-21        6.91872e-22
6000.0000     1.8209      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.21679e-21        2.54518e-21        9.22977e-22
7000.0000     1.9217      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.56927e-21        3.28247e-21        1.19034e-21
8000.0000     2.0297      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.94062e-21        4.05923e-21        1.47203e-21
9000.0000     2.1115      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.36094e-21        4.93842e-21        1.79085e-21
10000.0000     2.2205      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.77165e-21        5.7975e-21        2.10239e-21
12000.0000     2.3067      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.84202e-21        8.03642e-21        2.9143e-21
15000.0000     2.4632      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        5.62179e-21        1.17592e-20        4.26432e-21
20000.0000     2.6583      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        9.2608e-21        1.9371e-20        7.02463e-21
30000.0000     2.9224      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.89538e-20        3.96459e-20        1.43771e-20
50000.0000     3.2355      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.7554e-20        9.94696e-20        3.60714e-20
100000.0000     3.5335      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.74177e-19        3.64329e-19        1.32119e-19
