Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      237.9112     0.9501      5.69182e-17            1.62708e-15        5.61112e-17        8.709e-14        2.48958e-12        8.58552e-14
6.0000     0.5772      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        8.92171e-14        2.55038e-12        8.79522e-14
8.0000     0.8456      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.08273e-13        3.09511e-12        1.06738e-13
10.0000     1.0265      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.39355e-13        3.98363e-12        1.37379e-13
15.0000     1.2878      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        2.4993e-13        7.14456e-12        2.46386e-13
20.0000     1.5234      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        3.75619e-13        1.07376e-11        3.70294e-13
25.0000     1.5983      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        5.59384e-13        1.59907e-11        5.51453e-13
30.0000     1.7309      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        7.43796e-13        2.12624e-11        7.3325e-13
40.0000     1.9027      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.20296e-12        3.43881e-11        1.1859e-12
50.0000     1.9585      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.82608e-12        5.22007e-11        1.80018e-12
60.0000     2.0509      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        2.51104e-12        7.17812e-11        2.47544e-12
70.0000     2.0953      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        3.3454e-12        9.56326e-11        3.29797e-12
80.0000     2.1677      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        4.22341e-12        1.20732e-10        4.16353e-12
90.0000     2.2023      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        5.26135e-12        1.50402e-10        5.18675e-12
100.0000     2.2332      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        6.40574e-12        1.83116e-10        6.31492e-12
110.0000     2.2340      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        7.74803e-12        2.21487e-10        7.63818e-12
120.0000     2.2570      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        9.12678e-12        2.60901e-10        8.99738e-12
130.0000     2.2784      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.06109e-11        3.03327e-10        1.04605e-11
140.0000     2.2834      237.9112     0.9500      5.69182e-17            1.62708e-15        5.61112e-17        1.22789e-11        3.51008e-10        1.21048e-11
