Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      233.8012     0.9502      2.44879e-30            5.12218e-30        1.85749e-30        3.74688e-27        7.8374e-27        2.84213e-27
6.0000     0.5772      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.83839e-27        8.02883e-27        2.91155e-27
8.0000     0.8456      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.65822e-27        9.74368e-27        3.53342e-27
10.0000     1.0265      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        5.99546e-27        1.25408e-26        4.54776e-27
15.0000     1.2878      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.07527e-26        2.24917e-26        8.15632e-27
20.0000     1.5234      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.61603e-26        3.38027e-26        1.22581e-26
25.0000     1.5983      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.40664e-26        5.034e-26        1.82552e-26
30.0000     1.7309      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.20004e-26        6.69357e-26        2.42734e-26
40.0000     1.9027      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        5.17549e-26        1.08257e-25        3.92579e-26
50.0000     1.9585      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        7.85633e-26        1.64332e-25        5.95929e-26
60.0000     2.0509      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.08033e-25        2.25973e-25        8.19464e-26
70.0000     2.0953      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.43929e-25        3.01059e-25        1.09175e-25
80.0000     2.1677      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.81704e-25        3.80073e-25        1.37829e-25
90.0000     2.2023      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.26359e-25        4.73479e-25        1.71701e-25
100.0000     2.2332      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.75594e-25        5.76465e-25        2.09048e-25
110.0000     2.2340      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.33344e-25        6.97261e-25        2.52853e-25
120.0000     2.2570      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.92662e-25        8.21337e-25        2.97847e-25
130.0000     2.2784      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.56515e-25        9.549e-25        3.46282e-25
140.0000     2.2834      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        5.28276e-25        1.105e-24        4.00716e-25
150.0000     2.2998      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        6.02116e-25        1.25946e-24        4.56725e-25
160.0000     2.3056      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        6.83372e-25        1.42942e-24        5.18361e-25
180.0000     2.3131      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        8.62053e-25        1.80317e-24        6.53896e-25
200.0000     2.3119      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.06485e-24        2.22736e-24        8.07723e-25
220.0000     2.3214      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.28317e-24        2.68403e-24        9.73329e-25
240.0000     2.3113      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.53378e-24        3.20824e-24        1.16343e-24
260.0000     2.2903      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.81656e-24        3.79973e-24        1.37792e-24
280.0000     2.3002      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.09772e-24        4.38783e-24        1.59119e-24
300.0000     2.2733      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.43657e-24        5.09661e-24        1.84822e-24
330.0000     2.2424      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.98882e-24        6.25177e-24        2.26712e-24
360.0000     2.2052      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.61707e-24        7.56588e-24        2.74367e-24
400.0000     2.1674      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.54335e-24        9.50341e-24        3.44629e-24
450.0000     2.1255      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        5.86355e-24        1.22649e-23        4.4477e-24
500.0000     2.1445      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        7.17461e-24        1.50073e-23        5.44219e-24
550.0000     2.0992      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        8.86869e-24        1.85508e-23        6.72721e-24
600.0000     2.0500      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.0808e-23        2.26072e-23        8.19822e-24
650.0000     1.9984      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.30116e-23        2.72165e-23        9.86973e-24
700.0000     2.0148      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.49674e-23        3.13076e-23        1.13533e-23
750.0000     1.9629      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.76365e-23        3.68905e-23        1.33779e-23
800.0000     1.9106      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.06162e-23        4.31232e-23        1.56381e-23
900.0000     1.8739      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.66025e-23        5.56449e-23        2.01789e-23
1000.0000     1.9280      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.19211e-23        6.67698e-23        2.42132e-23
1100.0000     1.8636      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.99592e-23        8.35833e-23        3.03104e-23
1200.0000     1.8281      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.84779e-23        1.01402e-22        3.67722e-23
1300.0000     1.7945      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        5.79616e-23        1.21239e-22        4.39659e-23
1500.0000     1.7857      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        7.75472e-23        1.62207e-22        5.88222e-23
