Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      373.9012     0.9502      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
6.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
8.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
10.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
15.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
20.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
25.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
30.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
40.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
50.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
60.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
70.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
80.0000     0.0000      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
90.0000     8.8396      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        4.9873e-30        5.92601e-30        2.87816e-30
100.0000     9.4701      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        5.7472e-30        6.82894e-30        3.31669e-30
110.0000     9.3348      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        7.05487e-30        8.38274e-30        4.07135e-30
120.0000     10.0042      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        7.83412e-30        9.30866e-30        4.52105e-30
130.0000     10.7572      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        8.55062e-30        1.016e-29        4.93454e-30
140.0000     10.7197      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        9.95143e-30        1.18245e-29        5.74294e-30
150.0000     11.5108      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.06387e-29        1.26411e-29        6.13957e-30
160.0000     12.3170      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.13122e-29        1.34414e-29        6.52825e-30
180.0000     13.1456      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.34146e-29        1.59395e-29        7.74151e-30
200.0000     13.9950      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.55561e-29        1.8484e-29        8.97735e-30
220.0000     14.0115      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.88006e-29        2.23393e-29        1.08498e-29
240.0000     14.8911      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        2.10526e-29        2.50152e-29        1.21494e-29
260.0000     15.7816      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        2.33134e-29        2.77015e-29        1.34541e-29
280.0000     15.8215      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        2.697e-29        3.20463e-29        1.55643e-29
300.0000     16.7090      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        2.93158e-29        3.48337e-29        1.69181e-29
330.0000     17.6237      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        3.36311e-29        3.99611e-29        1.94084e-29
360.0000     18.5512      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        3.80228e-29        4.51795e-29        2.19428e-29
400.0000     19.4858      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        4.46901e-29        5.31017e-29        2.57905e-29
450.0000     20.4425      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        5.3914e-29        6.40617e-29        3.11136e-29
500.0000     20.5761      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        6.61284e-29        7.85751e-29        3.81625e-29
550.0000     21.5170      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        7.65165e-29        9.09185e-29        4.41574e-29
600.0000     22.4604      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        8.72362e-29        1.03656e-28        5.03437e-29
650.0000     23.3802      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        9.83534e-29        1.16866e-28        5.67595e-29
700.0000     23.5078      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.13448e-28        1.34801e-28        6.54702e-29
750.0000     24.4070      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.25435e-28        1.49045e-28        7.23882e-29
800.0000     25.2955      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.37704e-28        1.63623e-28        7.94688e-29
900.0000     26.2823      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.67738e-28        1.9931e-28        9.68013e-29
1000.0000     27.3654      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.98888e-28        2.36323e-28        1.14778e-28
1100.0000     27.4921      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        2.39545e-28        2.84633e-28        1.38241e-28
1200.0000     28.4265      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        2.75708e-28        3.27602e-28        1.5911e-28
1300.0000     29.3164      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        3.13753e-28        3.72808e-28        1.81066e-28
1500.0000     30.4211      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        4.02549e-28        4.78316e-28        2.3231e-28
1700.0000     31.4835      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        4.99604e-28        5.9364e-28        2.8832e-28
2000.0000     33.2830      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        6.54106e-28        7.77222e-28        3.77483e-28
2500.0000     34.8429      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        9.76284e-28        1.16004e-27        5.6341e-28
3000.0000     36.8018      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.33102e-27        1.58155e-27        7.68128e-28
4000.0000     39.8633      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        2.18453e-27        2.5957e-27        1.26068e-27
