Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      237.9112     0.9501      2.07106e-23            1.86938e-22        1.94162e-23        inf        nan        nan
6.0000     0.1805      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        1.03813e-19        9.37038e-19        9.73247e-20
8.0000     0.5094      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        6.53968e-20        5.90284e-19        6.13094e-20
10.0000     0.8731      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        5.96145e-20        5.38091e-19        5.58884e-20
15.0000     1.6321      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        7.17566e-20        6.47689e-19        6.72717e-20
20.0000     2.7783      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        7.49403e-20        6.76425e-19        7.02564e-20
25.0000     3.1984      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        1.01713e-19        9.18077e-19        9.53554e-20
30.0000     4.2809      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        1.0943e-19        9.87739e-19        1.02591e-19
40.0000     6.2548      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        1.3315e-19        1.20183e-18        1.24827e-19
50.0000     6.9588      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        1.86998e-19        1.68787e-18        1.7531e-19
60.0000     8.6092      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        2.17656e-19        1.96461e-18        2.04053e-19
70.0000     9.4855      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        2.68886e-19        2.42702e-18        2.5208e-19
80.0000     11.4537      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        2.90848e-19        2.62525e-18        2.7267e-19
90.0000     12.5081      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        3.37075e-19        3.0425e-18        3.16007e-19
100.0000     13.6125      237.9112     0.9500      2.07106e-23            1.86938e-22        1.94162e-23        3.82379e-19        3.45143e-18        3.5848e-19
