Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      233.8012     0.9502      2.44879e-30            5.12218e-30        1.85749e-30        inf        nan        nan
6.0000     0.1805      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.22747e-26        2.56753e-26        9.3108e-27
8.0000     0.5094      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        7.73243e-27        1.6174e-26        5.86531e-27
10.0000     0.8731      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        7.04873e-27        1.47439e-26        5.3467e-27
15.0000     1.6321      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        8.48441e-27        1.7747e-26        6.43571e-27
20.0000     2.7783      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        8.86083e-27        1.85343e-26        6.72124e-27
25.0000     3.1984      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.20264e-26        2.51557e-26        9.1224e-27
30.0000     4.2809      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.29389e-26        2.70645e-26        9.81459e-27
40.0000     6.2548      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        1.57434e-26        3.29308e-26        1.19419e-26
50.0000     6.9588      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.21103e-26        4.62485e-26        1.67714e-26
60.0000     8.6092      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        2.57354e-26        5.38312e-26        1.95212e-26
70.0000     9.4855      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.17927e-26        6.65014e-26        2.41159e-26
80.0000     11.4537      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.43895e-26        7.19331e-26        2.60856e-26
90.0000     12.5081      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        3.98553e-26        8.33659e-26        3.02316e-26
100.0000     13.6125      233.8012     0.9500      2.44879e-30            5.12218e-30        1.85749e-30        4.5212e-26        9.45707e-26        3.42948e-26
