Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      233.8012     0.9502      1.3563e-34            1.53783e-34        7.98983e-35        inf        nan        nan
6.0000     0.1805      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        6.79856e-31        7.70845e-31        4.00495e-31
8.0000     0.5094      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        4.28273e-31        4.85591e-31        2.52291e-31
10.0000     0.8731      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        3.90406e-31        4.42656e-31        2.29983e-31
15.0000     1.6321      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        4.69923e-31        5.32815e-31        2.76826e-31
20.0000     2.7783      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        4.90772e-31        5.56454e-31        2.89108e-31
25.0000     3.1984      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        6.661e-31        7.55247e-31        3.92391e-31
30.0000     4.2809      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        7.16642e-31        8.12554e-31        4.22165e-31
40.0000     6.2548      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        8.71975e-31        9.88676e-31        5.1367e-31
50.0000     6.9588      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        1.22462e-30        1.38851e-30        7.21407e-31
60.0000     8.6092      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        1.4254e-30        1.61617e-30        8.39684e-31
70.0000     9.4855      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        1.76089e-30        1.99656e-30        1.03732e-30
80.0000     11.4537      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        1.90472e-30        2.15964e-30        1.12205e-30
90.0000     12.5081      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        2.20745e-30        2.50288e-30        1.30038e-30
100.0000     13.6125      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        2.50414e-30        2.83928e-30        1.47516e-30
110.0000     13.5965      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        3.03357e-30        3.43957e-30        1.78704e-30
120.0000     14.7423      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        3.32962e-30        3.77525e-30        1.96144e-30
130.0000     15.9288      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        3.6166e-30        4.10063e-30        2.1305e-30
140.0000     15.9343      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        4.19296e-30        4.75412e-30        2.47002e-30
150.0000     17.1584      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        4.46996e-30        5.0682e-30        2.6332e-30
160.0000     18.4057      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        4.74116e-30        5.37569e-30        2.79296e-30
180.0000     19.7107      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        5.60325e-30        6.35316e-30        3.30081e-30
200.0000     21.0547      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        6.47602e-30        7.34274e-30        3.81495e-30
220.0000     21.1230      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        7.81063e-30        8.85597e-30        4.60115e-30
240.0000     22.5129      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        8.72145e-30        9.88869e-30        5.1377e-30
260.0000     23.9246      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        9.63163e-30        1.09207e-29        5.67388e-30
280.0000     24.0050      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        1.1133e-29        1.26229e-29        6.5583e-30
300.0000     25.4572      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        1.20512e-29        1.3664e-29        7.09919e-30
330.0000     26.9901      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        1.37537e-29        1.55945e-29        8.10216e-30
360.0000     28.5501      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        1.54737e-29        1.75446e-29        9.11537e-30
400.0000     30.1833      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        1.80697e-29        2.0488e-29        1.06446e-29
450.0000     31.9128      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        2.163e-29        2.45249e-29        1.2742e-29
500.0000     32.1383      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        2.65164e-29        3.00652e-29        1.56205e-29
550.0000     33.8902      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        3.04262e-29        3.44984e-29        1.79237e-29
600.0000     35.6831      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        3.43904e-29        3.89931e-29        2.0259e-29
650.0000     37.4968      233.8012     0.9500      1.3563e-34            1.53783e-34        7.98983e-35        3.84087e-29        4.35491e-29        2.26261e-29
