Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      373.9012     0.9502      2.16556e-34            2.57317e-34        1.24974e-34        inf        nan        nan
6.0000     0.1805      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.0855e-30        1.28982e-30        6.2644e-31
8.0000     0.5094      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        6.83809e-31        8.12516e-31        3.94624e-31
10.0000     0.8731      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        6.23347e-31        7.40674e-31        3.59732e-31
15.0000     1.6321      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        7.50309e-31        8.91533e-31        4.33001e-31
20.0000     2.7783      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        7.83598e-31        9.31087e-31        4.52212e-31
25.0000     3.1984      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.06354e-30        1.26372e-30        6.13765e-31
30.0000     4.2809      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.14424e-30        1.35961e-30        6.60336e-31
40.0000     6.2548      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.39225e-30        1.6543e-30        8.03464e-31
50.0000     6.9588      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.9553e-30        2.32333e-30        1.1284e-30
60.0000     8.6092      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        2.27588e-30        2.70425e-30        1.3134e-30
70.0000     9.4855      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        2.81156e-30        3.34075e-30        1.62254e-30
80.0000     11.4537      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        3.0412e-30        3.61361e-30        1.75507e-30
90.0000     12.5081      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        3.52456e-30        4.18795e-30        2.03401e-30
100.0000     13.6125      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        3.99827e-30        4.75083e-30        2.30739e-30
110.0000     13.5965      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        4.8436e-30        5.75526e-30        2.79523e-30
120.0000     14.7423      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        5.31629e-30        6.31693e-30        3.06802e-30
130.0000     15.9288      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        5.7745e-30        6.86138e-30        3.33244e-30
140.0000     15.9343      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        6.69475e-30        7.95483e-30        3.86352e-30
150.0000     17.1584      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        7.13703e-30        8.48036e-30        4.11876e-30
160.0000     18.4057      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        7.57004e-30        8.99488e-30        4.36865e-30
180.0000     19.7107      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        8.94651e-30        1.06304e-29        5.163e-30
200.0000     21.0547      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.034e-29        1.22862e-29        5.9672e-30
220.0000     21.1230      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.2471e-29        1.48183e-29        7.19696e-30
240.0000     22.5129      373.9012     0.9500      2.16556e-34            2.57317e-34        1.24974e-34        1.39252e-29        1.65462e-29        8.03621e-30
