Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0317      346.3011     0.9501      3.53712e-30            6.43168e-30        2.43818e-30        7.00058e-26        1.27294e-25        4.82559e-26
6.0000     0.0405      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.89971e-26        1.43643e-25        5.44537e-26
8.0000     0.0558      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.02019e-25        1.85505e-25        7.03232e-26
10.0000     0.0675      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.31656e-25        2.39394e-25        9.07519e-26
15.0000     0.0887      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.25456e-25        4.09954e-25        1.5541e-25
20.0000     0.1104      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.22139e-25        5.85757e-25        2.22055e-25
25.0000     0.1209      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.59581e-25        8.35674e-25        3.16796e-25
30.0000     0.1367      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.85345e-25        1.06436e-24        4.03486e-25
40.0000     0.1626      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.74636e-25        1.59038e-24        6.02898e-25
50.0000     0.1759      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.26347e-24        2.29741e-24        8.70926e-25
60.0000     0.1950      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.64114e-24        2.98415e-24        1.13126e-24
70.0000     0.2069      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.1056e-24        3.8287e-24        1.45142e-24
80.0000     0.2257      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.52093e-24        4.58389e-24        1.73771e-24
90.0000     0.2371      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.03657e-24        5.52151e-24        2.09315e-24
100.0000     0.2486      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.57648e-24        6.50325e-24        2.46532e-24
110.0000     0.2490      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.31944e-24        7.8542e-24        2.97745e-24
120.0000     0.2561      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.99875e-24        9.08941e-24        3.44571e-24
130.0000     0.2643      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.68519e-24        1.03376e-23        3.91888e-24
140.0000     0.2691      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        6.47505e-24        1.17738e-23        4.46334e-24
150.0000     0.2787      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.17814e-24        1.30523e-23        4.94799e-24
160.0000     0.2882      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.89744e-24        1.43602e-23        5.44381e-24
180.0000     0.3036      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        9.4885e-24        1.72533e-23        6.54055e-24
200.0000     0.3193      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.1135e-23        2.02471e-23        7.67548e-24
220.0000     0.3301      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.30336e-23        2.36995e-23        8.98423e-24
240.0000     0.3463      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.47847e-23        2.68836e-23        1.01913e-23
260.0000     0.3624      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.6581e-23        3.01498e-23        1.14295e-23
280.0000     0.3725      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.87123e-23        3.40252e-23        1.28986e-23
300.0000     0.3893      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.05534e-23        3.7373e-23        1.41677e-23
330.0000     0.4111      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.35476e-23        4.28176e-23        1.62317e-23
360.0000     0.4330      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.66071e-23        4.83807e-23        1.83407e-23
400.0000     0.4606      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.08835e-23        5.61567e-23        2.12884e-23
450.0000     0.4916      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.66194e-23        6.65865e-23        2.52423e-23
500.0000     0.5115      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.34471e-23        7.90014e-23        2.99486e-23
550.0000     0.5423      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.95847e-23        9.01617e-23        3.41794e-23
600.0000     0.5731      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.58384e-23        1.01533e-22        3.84902e-23
650.0000     0.6044      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        6.21471e-23        1.13004e-22        4.28388e-23
700.0000     0.6210      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.01463e-23        1.2755e-22        4.83528e-23
750.0000     0.6520      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.66901e-23        1.39449e-22        5.28635e-23
800.0000     0.6840      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.3178e-23        1.51246e-22        5.73357e-23
900.0000     0.7308      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        9.85351e-23        1.7917e-22        6.79216e-23
1000.0000     0.7872      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.12926e-22        2.05337e-22        7.78412e-23
1100.0000     0.8042      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.3375e-22        2.43203e-22        9.21956e-23
1200.0000     0.8490      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.50772e-22        2.74154e-22        1.03929e-22
1300.0000     0.8934      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.68159e-22        3.05769e-22        1.15914e-22
1500.0000     0.9607      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.08198e-22        3.78575e-22        1.43514e-22
1700.0000     1.0249      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.50672e-22        4.55805e-22        1.72791e-22
2000.0000     1.1285      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.15098e-22        5.72954e-22        2.17201e-22
2500.0000     1.2380      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.48784e-22        8.16041e-22        3.09353e-22
3000.0000     1.3603      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.88161e-22        1.06948e-21        4.05427e-22
4000.0000     1.5574      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        9.13317e-22        1.66072e-21        6.29561e-22
5000.0000     1.6869      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.31749e-21        2.39565e-21        9.08165e-22
6000.0000     1.8209      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.75757e-21        3.19586e-21        1.21152e-21
7000.0000     1.9217      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.26671e-21        4.12164e-21        1.56247e-21
8000.0000     2.0297      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.8031e-21        5.09698e-21        1.93221e-21
9000.0000     2.1115      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.41022e-21        6.20093e-21        2.35071e-21
10000.0000     2.2205      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.00346e-21        7.27964e-21        2.75964e-21
12000.0000     2.3067      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.54954e-21        1.00909e-20        3.82537e-21
