Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0317      113.6011     0.9505      7.45863e-33            1.24176e-32        3.92779e-33        1.47619e-28        2.45767e-28        7.77378e-29
6.0000     0.0405      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.66579e-28        2.77332e-28        8.77222e-29
8.0000     0.0558      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.15125e-28        3.58155e-28        1.13287e-28
10.0000     0.0675      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.77619e-28        4.62198e-28        1.46197e-28
15.0000     0.0887      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        4.75412e-28        7.91499e-28        2.50357e-28
20.0000     0.1104      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        6.79285e-28        1.13092e-27        3.57719e-28
25.0000     0.1209      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        9.69107e-28        1.61344e-27        5.10342e-28
30.0000     0.1367      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.2343e-27        2.05495e-27        6.49996e-28
40.0000     0.1626      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.84432e-27        3.07055e-27        9.71238e-28
50.0000     0.1759      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.66424e-27        4.43561e-27        1.40302e-27
60.0000     0.1950      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.46064e-27        5.7615e-27        1.82241e-27
70.0000     0.2069      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        4.44003e-27        7.39206e-27        2.33816e-27
80.0000     0.2257      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        5.31581e-27        8.85012e-27        2.79936e-27
90.0000     0.2371      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        6.40313e-27        1.06604e-26        3.37195e-27
100.0000     0.2486      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        7.54163e-27        1.25558e-26        3.9715e-27
110.0000     0.2490      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        9.10829e-27        1.51641e-26        4.79652e-27
120.0000     0.2561      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.05407e-26        1.75489e-26        5.55085e-27
130.0000     0.2643      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.19882e-26        1.99588e-26        6.31311e-27
140.0000     0.2691      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.36538e-26        2.27317e-26        7.19021e-27
150.0000     0.2787      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.51364e-26        2.52e-26        7.97096e-27
160.0000     0.2882      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.66531e-26        2.77252e-26        8.7697e-27
180.0000     0.3036      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.00081e-26        3.33109e-26        1.05365e-26
200.0000     0.3193      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.348e-26        3.90911e-26        1.23648e-26
220.0000     0.3301      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.74836e-26        4.57566e-26        1.44731e-26
240.0000     0.3463      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.11761e-26        5.19041e-26        1.64177e-26
260.0000     0.3624      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.49638e-26        5.82101e-26        1.84123e-26
