Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.4106      346.3011     0.9501      3.53712e-30            6.43168e-30        2.43818e-30        5.41211e-27        9.84105e-27        3.73064e-27
6.0000     0.5772      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.5443e-27        1.00814e-26        3.82176e-27
8.0000     0.8456      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        6.72849e-27        1.22347e-26        4.63804e-27
10.0000     1.0265      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.66004e-27        1.57469e-26        5.96948e-27
15.0000     1.2878      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.55316e-26        2.82417e-26        1.07062e-26
20.0000     1.5234      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.33425e-26        4.24444e-26        1.60903e-26
25.0000     1.5983      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.47623e-26        6.32096e-26        2.39621e-26
30.0000     1.7309      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.62224e-26        8.40479e-26        3.18617e-26
40.0000     1.9027      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.47565e-26        1.35933e-25        5.15307e-26
50.0000     1.9585      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.13479e-25        2.06344e-25        7.82229e-26
60.0000     2.0509      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.56046e-25        2.83744e-25        1.07564e-25
70.0000     2.0953      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.07896e-25        3.78026e-25        1.43306e-25
80.0000     2.1677      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.62459e-25        4.77239e-25        1.80917e-25
90.0000     2.2023      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.26961e-25        5.94525e-25        2.25379e-25
100.0000     2.2332      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.98078e-25        7.2384e-25        2.744e-25
110.0000     2.2340      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.81493e-25        8.75516e-25        3.31899e-25
120.0000     2.2570      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.67174e-25        1.03131e-24        3.9096e-25
130.0000     2.2784      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        6.59405e-25        1.19902e-24        4.54537e-25
140.0000     2.2834      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.6306e-25        1.3875e-24        5.25987e-25
150.0000     2.2998      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.69716e-25        1.58144e-24        5.99507e-25
160.0000     2.3056      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        9.87086e-25        1.79486e-24        6.80412e-25
180.0000     2.3131      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.24518e-24        2.26415e-24        8.58317e-25
200.0000     2.3119      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.5381e-24        2.79679e-24        1.06023e-24
220.0000     2.3214      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.85346e-24        3.37021e-24        1.27761e-24
240.0000     2.3113      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.21545e-24        4.02843e-24        1.52714e-24
260.0000     2.2903      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.6239e-24        4.77114e-24        1.80869e-24
280.0000     2.3002      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.03002e-24        5.50959e-24        2.08863e-24
300.0000     2.2733      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.51946e-24        6.39956e-24        2.42601e-24
330.0000     2.2424      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.31715e-24        7.85004e-24        2.97587e-24
360.0000     2.2052      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.22462e-24        9.50011e-24        3.6014e-24
400.0000     2.1674      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        6.56257e-24        1.1933e-23        4.52367e-24
450.0000     2.1255      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.4695e-24        1.54004e-23        5.83814e-24
500.0000     2.1445      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.03633e-23        1.88439e-23        7.14353e-24
550.0000     2.0992      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.28102e-23        2.32933e-23        8.83027e-24
600.0000     2.0500      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.56114e-23        2.83868e-23        1.07611e-23
650.0000     1.9984      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.87944e-23        3.41745e-23        1.29552e-23
