Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      346.3011     0.9501      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
6.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
8.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
10.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
15.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
20.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
25.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
30.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
40.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
50.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
60.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
70.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
80.0000     0.0000      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
90.0000     8.8396      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.14599e-26        1.48122e-25        5.61514e-26
100.0000     9.4701      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        9.38718e-26        1.70691e-25        6.47071e-26
110.0000     9.3348      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.15231e-25        2.09528e-25        7.943e-26
120.0000     10.0042      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.27958e-25        2.32671e-25        8.82034e-26
130.0000     10.7572      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.39661e-25        2.53952e-25        9.62705e-26
140.0000     10.7197      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.62541e-25        2.95555e-25        1.12042e-25
150.0000     11.5108      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.73767e-25        3.15967e-25        1.1978e-25
160.0000     12.3170      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.84768e-25        3.3597e-25        1.27363e-25
180.0000     13.1456      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.19107e-25        3.9841e-25        1.51033e-25
200.0000     13.9950      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.54084e-25        4.62011e-25        1.75144e-25
220.0000     14.0115      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.0708e-25        5.58375e-25        2.11674e-25
240.0000     14.8911      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.43863e-25        6.25258e-25        2.37029e-25
260.0000     15.7816      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.80789e-25        6.92403e-25        2.62483e-25
280.0000     15.8215      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.40513e-25        8.01002e-25        3.03652e-25
300.0000     16.7090      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.78829e-25        8.70673e-25        3.30063e-25
330.0000     17.6237      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.49312e-25        9.98835e-25        3.78648e-25
360.0000     18.5512      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        6.21044e-25        1.12927e-24        4.28094e-25
400.0000     19.4858      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.29945e-25        1.32729e-24        5.03161e-25
450.0000     20.4425      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.80604e-25        1.60123e-24        6.07012e-25
500.0000     20.5761      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.08011e-24        1.964e-24        7.44531e-25
550.0000     21.5170      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.24978e-24        2.27252e-24        8.61491e-25
600.0000     22.4604      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.42487e-24        2.5909e-24        9.82182e-25
650.0000     23.3802      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.60645e-24        2.92107e-24        1.10735e-24
700.0000     23.5078      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.85299e-24        3.36937e-24        1.27729e-24
750.0000     24.4070      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.04879e-24        3.72539e-24        1.41226e-24
800.0000     25.2955      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.24919e-24        4.08979e-24        1.5504e-24
900.0000     26.2823      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.73975e-24        4.98179e-24        1.88855e-24
1000.0000     27.3654      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.24854e-24        5.90694e-24        2.23926e-24
1100.0000     27.4921      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.91261e-24        7.11444e-24        2.69701e-24
1200.0000     28.4265      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.50328e-24        8.18848e-24        3.10417e-24
1300.0000     29.3164      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.12468e-24        9.31839e-24        3.53251e-24
1500.0000     30.4211      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        6.57502e-24        1.19556e-23        4.53225e-24
1700.0000     31.4835      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.16027e-24        1.48381e-23        5.62498e-24
2000.0000     33.2830      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.06838e-23        1.94268e-23        7.3645e-24
2500.0000     34.8429      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.59461e-23        2.89954e-23        1.09919e-23
3000.0000     36.8018      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.17402e-23        3.9531e-23        1.49858e-23
4000.0000     39.8633      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.56809e-23        6.488e-23        2.45953e-23
5000.0000     41.8392      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.31186e-23        9.65875e-23        3.66153e-23
6000.0000     44.0349      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.26767e-23        1.32151e-22        5.0097e-23
7000.0000     45.7211      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        9.52728e-23        1.73238e-22        6.56728e-23
8000.0000     47.5942      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.19541e-22        2.17365e-22        8.24009e-23
9000.0000     49.0764      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.46724e-22        2.66794e-22        1.01139e-22
10000.0000     51.3770      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.7303e-22        3.14627e-22        1.19272e-22
12000.0000     52.8506      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.42216e-22        4.4043e-22        1.66963e-22
15000.0000     56.1681      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.56109e-22        6.47526e-22        2.45471e-22
20000.0000     60.9377      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.83531e-22        1.06106e-21        4.02236e-22
30000.0000     68.3794      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.17006e-21        2.12756e-21        8.06536e-22
50000.0000     79.6737      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.78942e-21        5.07212e-21        1.92279e-21
100000.0000     99.0802      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.97228e-21        1.63146e-20        6.18471e-21
