Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      113.6011     0.9505      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
6.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
8.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
10.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
15.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
20.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
25.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
30.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
40.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
50.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
60.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
70.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
80.0000     0.0000      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
90.0000     8.8396      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.71772e-28        2.85978e-28        9.04571e-29
100.0000     9.4701      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.97945e-28        3.29552e-28        1.0424e-28
110.0000     9.3348      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.42984e-28        4.04536e-28        1.27958e-28
120.0000     10.0042      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.69822e-28        4.49219e-28        1.42091e-28
130.0000     10.7572      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.945e-28        4.90304e-28        1.55087e-28
140.0000     10.7197      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.42747e-28        5.70628e-28        1.80494e-28
150.0000     11.5108      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.66418e-28        6.10038e-28        1.9296e-28
160.0000     12.3170      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.89615e-28        6.48657e-28        2.05175e-28
180.0000     13.1456      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        4.62025e-28        7.6921e-28        2.43307e-28
200.0000     13.9950      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        5.35781e-28        8.92004e-28        2.82148e-28
220.0000     14.0115      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        6.47531e-28        1.07805e-27        3.40996e-28
240.0000     14.8911      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        7.25094e-28        1.20719e-27        3.81842e-28
260.0000     15.7816      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        8.0296e-28        1.33682e-27        4.22847e-28
280.0000     15.8215      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        9.28899e-28        1.54649e-27        4.89167e-28
300.0000     16.7090      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.00969e-27        1.68101e-27        5.31715e-28
330.0000     17.6237      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.15832e-27        1.92845e-27        6.09983e-28
360.0000     18.5512      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.30958e-27        2.18028e-27        6.89638e-28
400.0000     19.4858      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.53922e-27        2.56259e-27        8.10567e-28
450.0000     20.4425      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.85691e-27        3.0915e-27        9.77865e-28
500.0000     20.5761      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.27759e-27        3.79189e-27        1.1994e-27
550.0000     21.5170      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.63538e-27        4.38756e-27        1.38782e-27
600.0000     22.4604      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.00459e-27        5.00224e-27        1.58225e-27
650.0000     23.3802      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.38749e-27        5.63971e-27        1.78388e-27
700.0000     23.5078      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.90736e-27        6.50523e-27        2.05765e-27
750.0000     24.4070      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        4.32023e-27        7.19261e-27        2.27508e-27
800.0000     25.2955      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        4.74281e-27        7.89615e-27        2.49761e-27
900.0000     26.2823      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        5.77724e-27        9.61834e-27        3.04235e-27
1000.0000     27.3654      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        6.8501e-27        1.14045e-26        3.60733e-27
1100.0000     27.4921      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        8.25042e-27        1.37358e-26        4.34475e-27
1200.0000     28.4265      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        9.49594e-27        1.58095e-26        5.00066e-27
