Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      346.3011     0.9501      3.53712e-30            6.43168e-30        2.43818e-30        inf        nan        nan
6.0000     0.1805      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.773e-26        3.22392e-26        1.22216e-26
8.0000     0.5094      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.1169e-26        2.0309e-26        7.69892e-27
10.0000     0.8731      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.01814e-26        1.85133e-26        7.01819e-27
15.0000     1.6321      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.22552e-26        2.2284e-26        8.44764e-27
20.0000     2.7783      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.27989e-26        2.32727e-26        8.82244e-27
25.0000     3.1984      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.73713e-26        3.15868e-26        1.19743e-26
30.0000     4.2809      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.86894e-26        3.39836e-26        1.28828e-26
40.0000     6.2548      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.27403e-26        4.13496e-26        1.56752e-26
50.0000     6.9588      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.19369e-26        5.80721e-26        2.20145e-26
60.0000     8.6092      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.71731e-26        6.75932e-26        2.56239e-26
70.0000     9.4855      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.59225e-26        8.35025e-26        3.1655e-26
80.0000     11.4537      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.96733e-26        9.03229e-26        3.42405e-26
90.0000     12.5081      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.75683e-26        1.04679e-25        3.96826e-26
100.0000     13.6125      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        6.53057e-26        1.18748e-25        4.50161e-26
110.0000     13.5965      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.91128e-26        1.43854e-25        5.45335e-26
120.0000     14.7423      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.68336e-26        1.57893e-25        5.98555e-26
130.0000     15.9288      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        9.43176e-26        1.71501e-25        6.50144e-26
140.0000     15.9343      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.09348e-25        1.98832e-25        7.53754e-26
150.0000     17.1584      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.16572e-25        2.11968e-25        8.03549e-26
160.0000     18.4057      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.23645e-25        2.24829e-25        8.52302e-26
180.0000     19.7107      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.46128e-25        2.65709e-25        1.00728e-25
200.0000     21.0547      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.68889e-25        3.07097e-25        1.16417e-25
220.0000     21.1230      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.03694e-25        3.70385e-25        1.40409e-25
240.0000     22.5129      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.27448e-25        4.13576e-25        1.56783e-25
260.0000     23.9246      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.51184e-25        4.56738e-25        1.73145e-25
280.0000     24.0050      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        2.90338e-25        5.27932e-25        2.00134e-25
300.0000     25.4572      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.14283e-25        5.71473e-25        2.1664e-25
330.0000     26.9901      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        3.58685e-25        6.52211e-25        2.47246e-25
360.0000     28.5501      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.0354e-25        7.33772e-25        2.78165e-25
400.0000     30.1833      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        4.71241e-25        8.56875e-25        3.24833e-25
450.0000     31.9128      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        5.64092e-25        1.02571e-24        3.88836e-25
500.0000     32.1383      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        6.91523e-25        1.25742e-24        4.76676e-25
550.0000     33.8902      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        7.93489e-25        1.44283e-24        5.46963e-25
600.0000     35.6831      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        8.96871e-25        1.63081e-24        6.18225e-25
650.0000     37.4968      346.3011     0.9500      3.53712e-30            6.43168e-30        2.43818e-30        1.00166e-24        1.82136e-24        6.90461e-25
