Mass(Gev)   Energy       Nbound      Beta       Phi(cm^3 s^-1 GeV^-2)   +dPhi             -dPhi            cs(cm^3 s^-1)        +dcs             -dcs
5.0000     0.0000      113.6011     0.9505      7.45863e-33            1.24176e-32        3.92779e-33        inf        nan        nan
6.0000     0.1805      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.73869e-29        6.22442e-29        1.96883e-29
8.0000     0.5094      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.35517e-29        3.92105e-29        1.24026e-29
10.0000     0.8731      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.14693e-29        3.57435e-29        1.13059e-29
15.0000     1.6321      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.58421e-29        4.30237e-29        1.36087e-29
20.0000     2.7783      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.69887e-29        4.49325e-29        1.42125e-29
25.0000     3.1984      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.66303e-29        6.09847e-29        1.92899e-29
30.0000     4.2809      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.94098e-29        6.56121e-29        2.07536e-29
40.0000     6.2548      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        4.79519e-29        7.98335e-29        2.52519e-29
50.0000     6.9588      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        6.73445e-29        1.1212e-28        3.54643e-29
60.0000     8.6092      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        7.83859e-29        1.30502e-28        4.12788e-29
70.0000     9.4855      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        9.68355e-29        1.61218e-28        5.09945e-29
80.0000     11.4537      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.04745e-28        1.74386e-28        5.51597e-29
90.0000     12.5081      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.21393e-28        2.02103e-28        6.39266e-29
100.0000     13.6125      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.37708e-28        2.29266e-28        7.25186e-29
110.0000     13.5965      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.66823e-28        2.77738e-28        8.78507e-29
120.0000     14.7423      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.83104e-28        3.04843e-28        9.64242e-29
130.0000     15.9288      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.98885e-28        3.31117e-28        1.04735e-28
140.0000     15.9343      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.3058e-28        3.83886e-28        1.21426e-28
150.0000     17.1584      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.45813e-28        4.09246e-28        1.29448e-28
160.0000     18.4057      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.60727e-28        4.34076e-28        1.37302e-28
180.0000     19.7107      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.08135e-28        5.13005e-28        1.62267e-28
200.0000     21.0547      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.56131e-28        5.92911e-28        1.87542e-28
220.0000     21.1230      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        4.29525e-28        7.15102e-28        2.26192e-28
240.0000     22.5129      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        4.79613e-28        7.98491e-28        2.52569e-28
260.0000     23.9246      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        5.29666e-28        8.81823e-28        2.78927e-28
280.0000     24.0050      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        6.12227e-28        1.01928e-27        3.22405e-28
300.0000     25.4572      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        6.62721e-28        1.10334e-27        3.48995e-28
330.0000     26.9901      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        7.5635e-28        1.25922e-27        3.98301e-28
360.0000     28.5501      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        8.50934e-28        1.41669e-27        4.4811e-28
400.0000     30.1833      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        9.93693e-28        1.65437e-27        5.23289e-28
450.0000     31.9128      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.18949e-27        1.98034e-27        6.26395e-28
500.0000     32.1383      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.4582e-27        2.4277e-27        7.67901e-28
550.0000     33.8902      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.67321e-27        2.78567e-27        8.81129e-28
600.0000     35.6831      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        1.89121e-27        3.14861e-27        9.95929e-28
650.0000     37.4968      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.11218e-27        3.5165e-27        1.1123e-27
700.0000     37.7280      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.43462e-27        4.05332e-27        1.28209e-27
750.0000     39.5657      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.66504e-27        4.43693e-27        1.40343e-27
800.0000     41.4192      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        2.89652e-27        4.82232e-27        1.52534e-27
900.0000     43.5217      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        3.48882e-27        5.80841e-27        1.83725e-27
1000.0000     45.7911      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        4.09372e-27        6.8155e-27        2.15579e-27
1100.0000     46.0816      113.6011     0.9500      7.45863e-33            1.24176e-32        3.92779e-33        4.92218e-27        8.19477e-27        2.59207e-27
